Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
169,Fabian Schär,chSUI,DF,Newcastle Utd,33-134,1991.0,28.6,27,0.94,19,1,1,1,2,3,3,0.1,2,0,0,1,0,0,Matches
170,Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-246,2002.0,5.1,10,1.97,7,0,1,2,0,0,1,0.2,1,0,0,0,0,0,Matches
171,Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-131,2004.0,16.4,50,3.05,27,11,8,1,3,0,4,0.24,1,2,1,0,0,0,Matches
172,Federico Chiesa,itITA,FW,Liverpool,27-190,1997.0,0.4,3,7.3,3,0,0,0,0,0,1,2.43,1,0,0,0,0,0,Matches
173,Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-208,1999.0,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0,Matches
174,Filip Jørgensen,dkDEN,GK,Chelsea,23-017,2002.0,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
175,Flynn Downes,engENG,MF,Southampton,26-103,1999.0,19.9,30,1.51,26,2,0,1,0,1,2,0.1,1,1,0,0,0,0,Matches
176,Frank Onyeka,ngNGA,MF,Brentford,27-122,1998.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
177,Fraser Forster,engENG,GK,Tottenham,37-047,1988.0,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
178,Gabriel Jesus,brBRA,FW,Arsenal,28-030,1997.0,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0,Matches
179,Gabriel Magalhães,brBRA,DF,Arsenal,27-135,1997.0,26.3,35,1.33,31,0,0,3,1,0,6,0.23,4,0,0,1,1,0,Matches
180,Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-319,2001.0,21.7,61,2.81,46,1,7,4,3,0,6,0.28,3,0,1,1,1,0,Matches
181,George Edmundson,engENG,DF,Ipswich Town,27-245,1997.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
182,George Hirst,sctSCO,FW,Ipswich Town,26-077,1999.0,5.2,7,1.33,6,0,0,1,0,0,3,0.57,2,0,0,1,0,0,Matches
183,Georginio Rutter,frFRA,"MF,FW",Brighton,23-013,2002.0,18.4,64,3.47,37,0,9,7,9,2,8,0.43,3,0,3,1,1,0,Matches
184,Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-155,1996.0,8.7,23,2.64,21,0,1,0,1,0,8,0.92,7,0,1,0,0,0,Matches
185,Guglielmo Vicario,itITA,GK,Tottenham,28-208,1996.0,22.0,4,0.18,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
186,Guido Rodríguez,arARG,MF,West Ham,31-021,1994.0,11.3,10,0.88,8,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
187,Gustavo Nunes,brBRA,"MF,FW",Brentford,19-164,2005.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
188,Hamza Choudhury,bdBAN,"MF,DF",Leicester City,27-214,1997.0,1.5,3,2.05,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
189,Harrison Armstrong,engENG,MF,Everton,18-104,2007.0,0.5,1,1.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
190,Harrison Reed,engENG,MF,Fulham,30-096,1995.0,1.0,1,0.97,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
191,Harry Amass,engENG,DF,Manchester Utd,18-048,2007.0,1.8,5,2.71,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
192,Harry Clarke,engENG,DF,Ipswich Town,24-062,2001.0,4.2,1,0.24,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
193,Harry Maguire,engENG,DF,Manchester Utd,32-059,1993.0,16.5,17,1.03,12,1,0,4,0,0,0,0.0,0,0,0,0,0,0,Matches
194,Harry Toffolo,engENG,DF,Nott'ham Forest,29-257,1995.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
195,Harry Wilson,wlsWAL,"FW,MF",Fulham,28-042,1997.0,10.4,36,3.46,26,6,0,1,2,1,3,0.29,2,0,0,0,1,0,Matches
196,Harry Winks,engENG,MF,Leicester City,29-090,1996.0,17.1,39,2.28,29,7,1,1,1,0,3,0.18,2,1,0,0,0,0,Matches
197,Harvey Barnes,engENG,FW,Newcastle Utd,27-145,1997.0,15.7,52,3.3,36,1,6,5,4,0,9,0.57,6,0,1,1,1,0,Matches
198,Harvey Elliott,engENG,"MF,FW",Liverpool,22-029,2003.0,2.2,12,5.43,9,3,0,0,0,0,2,0.9,2,0,0,0,0,0,Matches
199,Hwang Hee-chan,krKOR,"MF,FW",Wolves,29-097,1996.0,7.2,9,1.24,8,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
200,Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-202,2001.0,1.6,2,1.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
201,Ian Maatsen,nlNED,DF,Aston Villa,23-054,2002.0,9.9,49,4.97,36,3,4,5,0,1,7,0.71,6,0,1,0,0,0,Matches
202,Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-152,1997.0,3.3,6,1.83,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
203,Ibrahima Konaté,frFRA,DF,Liverpool,25-343,1999.0,25.8,30,1.16,25,0,0,4,0,1,7,0.27,6,0,0,0,0,1,Matches
204,Idrissa Gana Gueye,snSEN,MF,Everton,35-219,1989.0,30.1,56,1.86,48,0,1,2,3,2,3,0.1,3,0,0,0,0,0,Matches
205,Igor,brBRA,DF,Brighton,27-085,1998.0,10.0,11,1.1,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
206,Iliman Ndiaye,snSEN,FW,Everton,25-058,2000.0,24.0,58,2.42,44,0,7,1,6,0,5,0.21,3,0,1,0,1,0,Matches
207,Illia Zabarnyi,uaUKR,DF,Bournemouth,22-244,2002.0,30.6,28,0.92,25,1,0,0,0,2,0,0.0,0,0,0,0,0,0,Matches
208,Ismaila Sarr,snSEN,"MF,FW",Crystal Palace,27-067,1998.0,26.6,97,3.65,70,0,6,7,14,0,9,0.34,6,0,1,0,2,0,Matches
209,Issa Diop,frFRA,DF,Fulham,28-114,1997.0,14.9,6,0.4,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
210,Jack Clarke,engENG,"FW,MF",Ipswich Town,24-161,2000.0,11.5,39,3.4,33,2,2,0,0,2,5,0.44,4,1,0,0,0,0,Matches
211,Jack Grealish,engENG,"FW,MF",Manchester City,29-235,1995.0,8.0,47,5.87,41,1,3,0,1,1,2,0.25,1,0,0,0,0,1,Matches
212,Jack Harrison,engENG,FW,Everton,28-164,1996.0,21.0,53,2.53,37,6,4,2,4,0,4,0.19,1,0,0,1,2,0,Matches
213,Jack Hinshelwood,engENG,"DF,MF",Brighton,20-022,2005.0,18.6,33,1.77,27,4,0,1,1,0,3,0.16,3,0,0,0,0,0,Matches
214,Jack Stephens,engENG,DF,Southampton,31-096,1994.0,12.9,12,0.93,12,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
215,Jack Taylor,ieIRL,MF,Ipswich Town,26-314,1998.0,7.6,20,2.62,13,1,2,2,0,2,1,0.13,1,0,0,0,0,0,Matches
216,Jacob Greaves,engENG,DF,Ipswich Town,24-233,2000.0,20.5,13,0.63,12,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
217,Jacob Murphy,engENG,FW,Newcastle Utd,30-068,1995.0,23.2,73,3.16,57,4,4,3,3,2,14,0.61,13,0,0,0,1,0,Matches
218,Jacob Ramsey,engENG,"FW,MF",Aston Villa,23-340,2001.0,16.5,49,2.97,38,0,4,1,6,0,8,0.48,7,0,0,0,1,0,Matches
219,Jaden Philogene Bidace,engENG,"FW,MF",Aston Villa,23-084,2002.0,3.7,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
220,Jaden Philogene Bidace,engENG,"FW,DF",Ipswich Town,23-084,2002.0,5.3,9,1.71,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
221,Jadon Sancho,engENG,FW,Chelsea,25-039,2000.0,18.5,65,3.51,58,0,3,1,3,0,10,0.54,9,0,0,0,1,0,Matches
222,Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-180,2005.0,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
223,Jake Evans,,FW,Leicester City,,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
224,Jake O'Brien,ieIRL,DF,Everton,23-353,2001.0,14.5,15,1.04,13,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
225,Jakub Kiwior,plPOL,DF,Arsenal,25-077,2000.0,8.5,6,0.71,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
226,Jakub Moder,plPOL,MF,Brighton,26-026,1999.0,0.1,4,32.73,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
227,Jakub Stolarczyk,plPOL,GK,Leicester City,24-135,2000.0,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
228,James Bree,engENG,DF,Southampton,27-204,1997.0,9.9,15,1.51,12,2,0,1,0,0,1,0.1,1,0,0,0,0,0,Matches
229,James Garner,engENG,"MF,DF",Everton,24-051,2001.0,13.7,30,2.19,21,9,0,0,0,0,4,0.29,3,1,0,0,0,0,Matches
230,James Hill,engENG,DF,Bournemouth,23-113,2002.0,5.0,8,1.61,5,2,0,0,0,1,1,0.2,1,0,0,0,0,0,Matches
231,James Justin,engENG,DF,Leicester City,27-069,1998.0,28.7,31,1.08,20,2,1,4,4,0,1,0.03,1,0,0,0,0,0,Matches
232,James Maddison,engENG,MF,Tottenham,28-161,1996.0,20.1,95,4.73,66,13,7,3,6,0,18,0.9,12,2,3,1,0,0,Matches
233,James Mcatee,engENG,"MF,FW",Manchester City,22-197,2002.0,3.4,3,0.89,2,0,1,0,0,0,1,0.3,0,0,1,0,0,0,Matches
234,James Milner,engENG,MF,Brighton,39-119,1986.0,1.9,8,4.26,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
235,James Tarkowski,engENG,DF,Everton,32-165,1992.0,32.5,38,1.17,32,2,0,4,0,0,4,0.12,4,0,0,0,0,0,Matches
236,James Ward-Prowse,engENG,MF,Nott'ham Forest,30-183,1994.0,4.4,10,2.25,6,4,0,0,0,0,2,0.45,1,1,0,0,0,0,Matches
237,James Ward-Prowse,engENG,MF,West Ham,30-183,1994.0,8.9,23,2.58,13,7,0,3,0,0,1,0.11,0,1,0,0,0,0,Matches
238,Jamie Vardy,engENG,FW,Leicester City,38-112,1987.0,28.6,42,1.47,30,0,5,2,5,0,9,0.31,4,0,2,1,2,0,Matches
239,Jan Bednarek,plPOL,DF,Southampton,29-021,1996.0,26.1,16,0.61,15,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
240,Jan Paul van Hecke,nlNED,DF,Brighton,24-329,2000.0,28.9,48,1.66,42,2,0,3,1,0,3,0.1,3,0,0,0,0,0,Matches
241,Jannik Vestergaard,dkDEN,DF,Leicester City,32-273,1992.0,15.5,7,0.45,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
242,Jarell Quansah,engENG,DF,Liverpool,22-094,2003.0,3.5,2,0.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
243,Jarrad Branthwaite,engENG,DF,Everton,22-310,2002.0,25.1,12,0.48,10,1,0,0,1,0,2,0.08,1,1,0,0,0,0,Matches
244,Jarrod Bowen,engENG,"FW,MF",West Ham,28-134,1996.0,29.2,102,3.49,62,13,5,12,8,2,13,0.44,9,2,1,1,0,0,Matches
245,Jason Steele,engENG,GK,Brighton,34-258,1990.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
246,Jay Robinson,engENG,MF,Southampton,18-049,2007.0,0.0,1,45.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
247,Jay Stansfield,engENG,MF,Fulham,22-160,2002.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
248,Jayden Danns,engENG,MF,Liverpool,19-107,2006.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
249,Jayden Meghoma,engENG,DF,Brentford,18-309,2006.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
250,Jean-Clair Todibo,frFRA,DF,West Ham,25-124,1999.0,16.5,5,0.3,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
251,Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-309,1997.0,27.1,56,2.06,38,0,4,9,5,0,8,0.29,3,0,3,2,0,0,Matches
252,Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,26-310,1998.0,17.2,53,3.08,33,3,4,4,7,2,10,0.58,8,0,0,0,1,1,Matches
253,Jefferson Lerma,coCOL,"MF,DF",Crystal Palace,30-190,1994.0,22.6,42,1.86,33,5,0,3,0,1,3,0.13,3,0,0,0,0,0,Matches
254,Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-131,1992.0,1.1,7,6.06,5,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
255,Jens Cajuste,seSWE,MF,Ipswich Town,25-266,1999.0,19.7,30,1.52,23,2,4,0,0,1,1,0.05,0,0,1,0,0,0,Matches
256,Jeremy Doku,beBEL,"FW,MF",Manchester City,22-341,2002.0,15.5,68,4.38,52,1,12,1,2,0,13,0.84,10,0,3,0,0,0,Matches
257,Jeremy Monga,,FW,Leicester City,,,0.3,1,2.9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
258,Jeremy Sarmiento,ecECU,MF,Brighton,22-321,2002.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
259,Jesper Lindstrøm,dkDEN,FW,Everton,25-063,2000.0,13.8,46,3.35,30,7,2,3,3,1,1,0.07,1,0,0,0,0,0,Matches
260,Joachim Andersen,dkDEN,DF,Crystal Palace,28-337,1996.0,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
261,Joachim Andersen,dkDEN,DF,Fulham,28-337,1996.0,24.7,30,1.22,23,1,0,6,0,0,2,0.08,1,1,0,0,0,0,Matches
262,Joe Aribo,ngNGA,"MF,DF",Southampton,28-286,1996.0,21.2,37,1.75,32,0,2,1,2,0,1,0.05,1,0,0,0,0,0,Matches
263,Joe Gomez,engENG,DF,Liverpool,27-345,1997.0,5.8,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
264,Joe Lumley,engENG,GK,Southampton,30-077,1995.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
265,Joe Willock,engENG,"MF,FW",Newcastle Utd,25-256,1999.0,10.6,41,3.88,33,0,3,3,1,1,4,0.38,4,0,0,0,0,0,Matches
266,Joel Ward,engENG,DF,Crystal Palace,35-186,1989.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
267,Joelinton,brBRA,"MF,FW",Newcastle Utd,28-262,1996.0,26.6,61,2.29,46,2,1,5,1,6,9,0.34,7,0,0,1,0,1,Matches
268,John McGinn,sctSCO,"MF,FW",Aston Villa,30-197,1994.0,22.1,66,2.98,51,5,0,4,5,1,6,0.27,6,0,0,0,0,0,Matches
269,John Stones,engENG,"DF,MF",Manchester City,30-340,1994.0,6.1,8,1.31,8,0,0,0,0,0,2,0.33,2,0,0,0,0,0,Matches
270,Jonny Evans,nirNIR,DF,Manchester Utd,37-120,1988.0,3.2,2,0.62,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
271,Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-234,1991.0,15.1,32,2.12,21,6,2,2,0,1,1,0.07,1,0,0,0,0,0,Matches
272,Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-234,1991.0,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
273,Jordan Pickford,engENG,GK,Everton,31-057,1994.0,34.0,12,0.35,11,1,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
274,Jorge Cuenca,esESP,DF,Fulham,25-167,1999.0,2.9,1,0.35,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
275,Jorginho,itITA,MF,Arsenal,33-134,1991.0,7.8,12,1.55,10,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
276,Joshua Acheampong,engENG,DF,Chelsea,18-363,2006.0,1.9,2,1.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
277,Joshua King,engENG,"MF,FW",Fulham,18-120,2007.0,0.9,4,4.5,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
278,Joshua Zirkzee,nlNED,"FW,MF",Manchester Utd,23-346,2001.0,15.6,31,1.99,28,0,0,2,1,0,3,0.19,1,0,0,1,1,0,Matches
279,José Sá,ptPOR,GK,Wolves,32-106,1993.0,27.0,4,0.15,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
280,Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-275,1999.0,9.4,29,3.09,22,0,1,3,3,0,3,0.32,2,0,0,0,1,0,Matches
281,João Félix,ptPOR,"FW,MF",Chelsea,25-174,1999.0,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0,Matches
282,João Gomes,brBRA,MF,Wolves,24-080,2001.0,30.9,62,2.01,49,1,5,2,2,3,3,0.1,3,0,0,0,0,0,Matches
283,João Pedro,brBRA,"FW,MF",Brighton,23-219,2001.0,21.6,72,3.32,56,0,3,2,10,1,9,0.42,6,0,0,0,3,0,Matches
284,Joël Veltman,nlNED,DF,Brighton,33-108,1992.0,18.3,22,1.21,15,2,2,1,2,0,1,0.05,0,1,0,0,0,0,Matches
285,Joško Gvardiol,hrCRO,DF,Manchester City,23-100,2002.0,33.4,69,2.07,64,1,2,2,0,0,7,0.21,6,0,1,0,0,0,Matches
286,Julian Araujo,mxMEX,DF,Bournemouth,23-263,2001.0,4.0,4,0.99,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
287,Julio Enciso,pyPAR,"MF,FW",Brighton,21-100,2004.0,3.3,12,3.69,5,1,3,1,2,0,0,0.0,0,0,0,0,0,0,Matches
288,Julio Enciso,pyPAR,"FW,MF",Ipswich Town,21-100,2004.0,6.9,21,3.05,12,3,3,2,0,1,3,0.44,2,1,0,0,0,0,Matches
289,Julio Soler,arARG,FW,Bournemouth,20-076,2005.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
290,Jurriën Timber,nlNED,DF,Arsenal,23-320,2001.0,26.9,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0,Matches
291,Justin Devenny,nirNIR,MF,Crystal Palace,21-204,2003.0,4.8,11,2.3,8,2,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
292,Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-363,1999.0,23.3,94,4.03,69,8,6,5,5,1,11,0.47,10,0,0,0,1,0,Matches
293,Jáder Durán,coCOL,FW,Aston Villa,21-141,2003.0,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,Matches
294,Jørgen Strand Larsen,noNOR,FW,Wolves,25-086,2000.0,27.4,40,1.46,31,1,1,3,2,2,5,0.18,5,0,0,0,0,0,Matches
295,Kaelan Casey,engENG,DF,West Ham,20-187,2004.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
296,Kai Havertz,deGER,"FW,MF",Arsenal,25-326,1999.0,20.4,41,2.01,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0,Matches
297,Kalvin Phillips,engENG,MF,Ipswich Town,29-152,1995.0,13.5,17,1.26,13,3,0,1,0,0,3,0.22,3,0,0,0,0,0,Matches
298,Kamaldeen Sulemana,ghGHA,"FW,MF",Southampton,23-077,2002.0,12.5,27,2.17,14,1,9,2,1,0,3,0.24,1,0,1,1,0,0,Matches
299,Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-348,1997.0,28.0,83,2.96,69,0,6,3,4,1,8,0.29,7,0,0,0,1,0,Matches
300,Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-162,2001.0,5.9,16,2.72,14,0,0,0,2,0,2,0.34,1,0,0,0,1,0,Matches
301,Keane Lewis-Potter,engENG,"DF,FW",Brentford,24-070,2001.0,30.7,65,2.12,51,0,4,3,6,1,8,0.26,6,0,0,0,2,0,Matches
302,Kenny Tete,nlNED,DF,Fulham,29-206,1995.0,16.0,30,1.88,22,0,2,3,2,1,3,0.19,3,0,0,0,0,0,Matches
303,Kepa Arrizabalaga,esESP,GK,Bournemouth,30-212,1994.0,27.0,4,0.15,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
304,Kevin Danso,atAUT,DF,Tottenham,26-226,1998.0,5.4,7,1.31,6,0,0,1,0,0,2,0.37,2,0,0,0,0,0,Matches
305,Kevin De Bruyne,beBEL,"MF,FW",Manchester City,33-309,1991.0,17.1,104,6.08,67,24,3,6,2,2,11,0.64,9,1,0,1,0,0,Matches
306,Kevin Schade,deGER,FW,Brentford,23-157,2001.0,22.2,50,2.25,29,6,6,4,4,1,9,0.41,5,0,1,3,0,0,Matches
307,Kieran Tierney,sctSCO,"DF,FW",Arsenal,27-332,1997.0,2.0,8,3.98,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
308,Kieran Trippier,engENG,DF,Newcastle Utd,34-226,1990.0,13.2,49,3.7,29,18,0,2,0,0,6,0.45,4,2,0,0,0,0,Matches
309,Kiernan Dewsbury-Hall,engENG,"MF,FW",Chelsea,26-239,1998.0,2.9,5,1.73,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
310,Kim Jisoo,krKOR,DF,Brentford,20-130,2004.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
311,Kobbie Mainoo,engENG,MF,Manchester Utd,20-014,2005.0,15.7,29,1.84,24,0,4,0,1,0,1,0.06,1,0,0,0,0,0,Matches
312,Konstantinos Mavropanos,grGRE,DF,West Ham,27-143,1997.0,21.6,16,0.74,12,0,1,2,0,1,0,0.0,0,0,0,0,0,0,Matches
313,Kosta Nedeljković,rsSRB,DF,Aston Villa,19-138,2005.0,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
314,Kostas Tsimikas,grGRE,DF,Liverpool,28-356,1996.0,7.4,23,3.1,16,6,0,0,1,0,2,0.27,1,1,0,0,0,0,Matches
315,Kristoffer Ajer,noNOR,DF,Brentford,27-016,1998.0,15.5,18,1.16,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,Matches
316,Kyle Walker,engENG,DF,Manchester City,34-340,1990.0,10.8,17,1.58,17,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
317,Kyle Walker-Peters,engENG,DF,Southampton,28-020,1997.0,31.4,62,1.97,39,3,10,5,3,2,7,0.22,5,0,1,1,0,0,Matches
318,Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-118,2004.0,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
319,Leandro Trossard,beBEL,FW,Arsenal,30-150,1994.0,25.2,78,3.1,61,2,5,5,4,1,6,0.24,6,0,0,0,0,0,Matches
320,Leif Davis,engENG,DF,Ipswich Town,25-111,2000.0,28.5,85,2.98,42,36,3,2,1,1,4,0.14,3,0,1,0,0,0,Matches
321,Leny Yoro,frFRA,DF,Manchester Utd,19-171,2005.0,11.9,7,0.59,4,0,0,2,0,1,0,0.0,0,0,0,0,0,0,Matches
322,Leon Bailey,jmJAM,"FW,MF",Aston Villa,27-267,1997.0,12.6,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0,Matches
323,Lesley Ugochukwu,frFRA,MF,Southampton,21-038,2004.0,16.1,23,1.43,19,0,1,1,2,0,1,0.06,0,0,0,1,0,0,Matches
324,Levi Colwill,engENG,DF,Chelsea,22-066,2003.0,31.0,37,1.19,33,2,0,1,0,1,3,0.1,2,0,0,0,0,1,Matches
325,Lewis Cook,engENG,"MF,DF",Bournemouth,28-089,1997.0,30.3,86,2.84,66,18,0,2,0,0,5,0.17,2,1,0,2,0,0,Matches
326,Lewis Dunk,engENG,DF,Brighton,33-163,1991.0,22.1,19,0.86,17,0,0,2,0,0,3,0.14,2,0,0,1,0,0,Matches
327,Lewis Hall,engENG,DF,Newcastle Utd,20-237,2004.0,24.3,63,2.59,44,18,0,0,1,0,6,0.25,5,1,0,0,0,0,Matches
328,Lewis Miley,engENG,MF,Newcastle Utd,19-002,2006.0,2.8,3,1.08,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
329,Lewis Orford,engENG,MF,West Ham,19-074,2006.0,0.5,2,3.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
330,Liam Delap,engENG,FW,Ipswich Town,22-084,2003.0,26.9,60,2.23,27,0,11,7,13,2,7,0.26,3,0,2,0,2,0,Matches
331,Lisandro Martínez,arARG,DF,Manchester Utd,27-105,1998.0,19.5,26,1.34,23,0,0,2,0,1,2,0.1,2,0,0,0,0,0,Matches
332,Lloyd Kelly,engENG,DF,Newcastle Utd,26-209,1998.0,3.4,2,0.59,2,0,0,0,0,0,1,0.3,1,0,0,0,0,0,Matches
333,Lucas Bergvall,seSWE,MF,Tottenham,19-090,2006.0,13.5,22,1.63,16,4,0,2,0,0,4,0.3,3,0,0,1,0,0,Matches
334,Lucas Digne,frFRA,DF,Aston Villa,31-287,1993.0,24.9,63,2.53,39,18,1,4,0,1,5,0.2,5,0,0,0,0,0,Matches
335,Lucas Paquetá,brBRA,"MF,FW",West Ham,27-249,1997.0,25.1,78,3.11,64,2,2,4,5,1,6,0.24,3,0,0,2,1,0,Matches
336,Luis Díaz,coCOL,FW,Liverpool,28-110,1997.0,24.7,116,4.69,87,0,16,9,4,0,16,0.65,13,0,1,0,2,0,Matches
337,Luis Guilherme,brBRA,"MF,FW",West Ham,19-083,2006.0,1.5,10,6.52,6,1,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
338,Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-320,1999.0,2.6,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0,Matches
339,Luke Shaw,engENG,DF,Manchester Utd,29-295,1995.0,1.9,9,4.68,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
340,Luke Thomas,engENG,DF,Leicester City,23-327,2001.0,8.7,6,0.69,3,2,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
341,Luke Woolfenden,engENG,DF,Ipswich Town,26-194,1998.0,12.2,2,0.16,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
342,Mads Hermansen,dkDEN,GK,Leicester City,24-296,2000.0,26.5,3,0.11,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
343,Mads Roerslev,dkDEN,DF,Brentford,25-313,1999.0,12.2,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0,Matches
