Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
33,Andrés García,esESP,"DF,MF",Aston Villa,22-085,2003.0,3.5,0,2,0,0.0,0.57,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
34,Andy Irving,sctSCO,MF,West Ham,24-355,2000.0,1.8,0,4,2,50.0,2.17,1.08,0.0,0.0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
35,Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,23-006,2002.0,23.8,6,38,19,50.0,1.6,0.8,0.16,0.32,17.2,4,0,0,4.0,4.0,0.11,2.0,2.0,Matches
36,Anthony Gordon,engENG,FW,Newcastle Utd,24-068,2001.0,24.4,6,55,16,29.1,2.25,0.65,0.09,0.31,16.6,1,1,2,8.0,6.4,0.12,-2.0,-1.4,Matches
37,Antoine Semenyo,ghGHA,FW,Bournemouth,25-116,2000.0,32.3,9,118,37,31.4,3.65,1.15,0.08,0.24,17.2,0,0,0,9.3,9.3,0.08,-0.3,-0.3,Matches
38,Antonee Robinson,usUSA,DF,Fulham,27-268,1997.0,32.2,0,16,2,12.5,0.5,0.06,0.0,0.0,22.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
39,Antony,brBRA,"DF,MF",Manchester Utd,25-068,2000.0,1.6,0,6,3,50.0,3.83,1.91,0.0,0.0,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
40,Antonín Kinský,czCZE,GK,Tottenham,22-051,2003.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
41,Archie Gray,engENG,"DF,MF",Tottenham,19-052,2006.0,15.5,0,1,1,100.0,0.06,0.06,0.0,0.0,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
42,Arijanet Muric,xkKVX,GK,Ipswich Town,26-177,1998.0,18.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Armando Broja,alALB,FW,Everton,23-235,2001.0,3.7,0,4,0,0.0,1.08,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
44,Armel Bella Kotchap,deGER,DF,Southampton,23-143,2001.0,3.7,0,1,0,0.0,0.27,0.0,0.0,,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
45,Asher Agbinone,engENG,MF,Crystal Palace,19-217,2005.0,0.1,0,1,0,0.0,15.0,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
46,Ashley Young,engENG,"DF,FW",Everton,39-298,1985.0,17.9,1,6,3,50.0,0.33,0.17,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,0.7,0.7,Matches
47,Axel Disasi,frFRA,DF,Chelsea,27-053,1998.0,4.0,1,2,1,50.0,0.49,0.25,0.5,1.0,12.3,0,0,0,0.3,0.3,0.14,0.7,0.7,Matches
48,Axel Disasi,frFRA,DF,Aston Villa,27-053,1998.0,5.4,0,2,0,0.0,0.37,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
49,Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-170,1997.0,16.1,0,4,0,0.0,0.25,0.0,0.0,,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
50,Ayden Heaven,engENG,DF,Manchester Utd,18-223,2006.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
51,Bart Verbruggen,nlNED,GK,Brighton,22-258,2002.0,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,Ben Brereton,clCHI,FW,Southampton,26-015,1999.0,5.0,0,11,1,9.1,2.2,0.2,0.0,0.0,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
53,Ben Chilwell,engENG,DF,Crystal Palace,28-133,1996.0,1.5,0,2,1,50.0,1.29,0.65,0.0,0.0,27.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
54,Ben Davies,wlsWAL,DF,Tottenham,32-009,1993.0,11.5,0,5,1,20.0,0.43,0.09,0.0,0.0,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
55,Ben Godfrey,engENG,DF,Ipswich Town,27-108,1998.0,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Ben Johnson,engENG,"DF,FW",Ipswich Town,25-099,2000.0,15.0,1,7,3,42.9,0.47,0.2,0.14,0.33,12.6,0,0,0,1.1,1.1,0.15,-0.1,-0.1,Matches
57,Ben Mee,engENG,DF,Brentford,35-224,1989.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,Ben White,engENG,DF,Arsenal,27-207,1997.0,9.5,0,7,1,14.3,0.74,0.11,0.0,0.0,19.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
59,Ben Winterburn,engENG,"FW,MF",Bournemouth,20-241,2004.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Benoît Badiashile,frFRA,DF,Chelsea,24-038,2001.0,3.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-266,1994.0,26.7,3,28,10,35.7,1.05,0.37,0.11,0.3,12.9,0,0,0,3.2,3.2,0.12,-0.2,-0.2,Matches
62,Bernd Leno,deGER,GK,Fulham,33-060,1992.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
