Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
138,Diogo Jota,ptPOR,FW,Liverpool,28-150,1996.0,12.2,6,46,13,28.3,3.77,1.07,0.13,0.46,12.5,0,0,0,7.3,7.3,0.16,-1.3,-1.3,Matches
139,Divin Mubama,engENG,FW,Manchester City,20-190,2004.0,0.3,0,1,0,0.0,3.21,0.0,0.0,,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
140,Djed Spence,engENG,DF,Tottenham,24-267,2000.0,16.8,1,10,3,30.0,0.59,0.18,0.1,0.33,23.9,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
141,Dominic Calvert-Lewin,engENG,FW,Everton,28-048,1997.0,17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Matches
142,Dominic Solanke,engENG,FW,Tottenham,27-231,1997.0,23.5,8,59,24,40.7,2.51,1.02,0.14,0.33,12.1,0,0,0,10.1,10.1,0.17,-2.1,-2.1,Matches
143,Dominik Szoboszlai,huHUN,MF,Liverpool,24-190,2000.0,25.1,5,62,20,32.3,2.47,0.8,0.08,0.25,18.5,3,0,0,7.1,7.1,0.12,-2.1,-2.1,Matches
144,Donyell Malen,nlNED,FW,Aston Villa,26-114,1999.0,3.0,3,12,8,66.7,3.96,2.64,0.25,0.38,16.3,0,0,0,1.7,1.7,0.14,1.3,1.3,Matches
145,Dwight McNeil,engENG,"MF,FW",Everton,25-162,1999.0,13.2,3,24,9,37.5,1.82,0.68,0.13,0.33,21.6,0,0,0,1.1,1.1,0.04,1.9,1.9,Matches
146,Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-308,1998.0,26.0,4,93,24,25.8,3.58,0.92,0.04,0.17,21.5,16,0,1,8.2,7.4,0.08,-4.2,-3.4,Matches
147,Eddie Nketiah,engENG,"FW,MF",Crystal Palace,25-338,1999.0,9.8,1,36,12,33.3,3.68,1.23,0.03,0.08,14.4,0,0,0,4.3,4.3,0.12,-3.3,-3.3,Matches
148,Ederson,brBRA,GK,Manchester City,31-259,1993.0,22.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
149,Edmond-Paris Maghoma,engENG,"MF,FW",Brentford,23-360,2001.0,1.3,0,1,0,0.0,0.76,0.0,0.0,,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
150,Edson Álvarez,mxMEX,MF,West Ham,27-191,1997.0,18.1,0,11,1,9.1,0.61,0.06,0.0,0.0,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
151,Eiran Cashin,ieIRL,DF,Brighton,23-175,2001.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
152,Elliot Anderson,engENG,MF,Nott'ham Forest,22-178,2002.0,26.4,2,35,7,20.0,1.33,0.27,0.06,0.29,19.8,0,0,0,1.7,1.7,0.05,0.3,0.3,Matches
153,Emerson Palmieri,itITA,DF,West Ham,30-273,1994.0,22.4,2,16,7,43.8,0.71,0.31,0.13,0.29,19.0,3,0,0,2.0,2.0,0.12,0.0,0.0,Matches
154,Emi Buendía,arARG,"MF,FW",Aston Villa,28-129,1996.0,1.1,0,5,0,0.0,4.59,0.0,0.0,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
155,Emil Krafth,seSWE,DF,Newcastle Utd,30-274,1994.0,3.2,0,1,0,0.0,0.31,0.0,0.0,,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
156,Emile Smith Rowe,engENG,MF,Fulham,24-279,2000.0,20.6,6,34,10,29.4,1.65,0.49,0.18,0.6,15.4,0,0,0,4.4,4.4,0.13,1.6,1.6,Matches
157,Emiliano Martínez,arARG,GK,Aston Villa,32-243,1992.0,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
158,Emmanuel Agbadou,ciCIV,DF,Wolves,27-320,1997.0,12.7,0,6,1,16.7,0.47,0.08,0.0,0.0,31.8,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
159,Enes Ünal,trTUR,"FW,MF",Bournemouth,27-358,1997.0,3.8,2,20,7,35.0,5.22,1.83,0.1,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
160,Enzo Fernández,arARG,MF,Chelsea,24-106,2001.0,28.8,5,49,18,36.7,1.7,0.63,0.1,0.28,18.6,2,0,0,5.4,5.4,0.11,-0.4,-0.4,Matches
161,Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,19-000,2006.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
162,Erling Haaland,noNOR,FW,Manchester City,24-286,2000.0,27.6,21,99,54,54.5,3.59,1.96,0.19,0.35,12.2,1,2,3,20.8,18.4,0.19,0.2,0.6,Matches
163,Ethan Nwaneri,engENG,"FW,MF",Arsenal,18-043,2007.0,9.1,4,22,8,36.4,2.43,0.88,0.18,0.5,18.2,1,0,0,1.1,1.1,0.05,2.9,2.9,Matches
164,Ethan Pinnock,jmJAM,DF,Brentford,31-339,1993.0,21.3,2,10,6,60.0,0.47,0.28,0.2,0.33,11.1,0,0,0,1.1,1.1,0.11,0.9,0.9,Matches
165,Evan Ferguson,ieIRL,FW,Brighton,20-196,2004.0,2.7,1,7,2,28.6,2.56,0.73,0.14,0.5,19.2,1,0,0,0.5,0.5,0.08,0.5,0.5,Matches
166,Evan Ferguson,ieIRL,FW,West Ham,20-196,2004.0,1.6,0,5,1,20.0,3.1,0.62,0.0,0.0,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
167,Evanilson,brBRA,FW,Bournemouth,25-209,1999.0,21.9,9,62,28,45.2,2.83,1.28,0.15,0.32,12.9,0,0,1,11.0,10.2,0.17,-2.0,-1.2,Matches
168,Ezri Konsa,engENG,DF,Aston Villa,27-192,1997.0,28.6,1,9,3,33.3,0.31,0.1,0.11,0.33,9.1,0,0,0,0.9,0.9,0.1,0.1,0.1,Matches
169,Fabian Schär,chSUI,DF,Newcastle Utd,33-134,1991.0,28.6,4,29,10,34.5,1.01,0.35,0.14,0.4,21.8,3,0,0,2.1,2.1,0.07,1.9,1.9,Matches
170,Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-246,2002.0,5.1,2,12,5,41.7,2.37,0.99,0.17,0.4,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,Matches
171,Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-131,2004.0,16.4,4,34,10,29.4,2.08,0.61,0.12,0.4,17.8,0,0,0,3.8,3.8,0.11,0.2,0.2,Matches
172,Federico Chiesa,itITA,FW,Liverpool,27-190,1997.0,0.4,0,4,2,50.0,9.73,4.86,0.0,0.0,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
173,Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-208,1999.0,4.3,1,4,1,25.0,0.94,0.23,0.25,1.0,15.1,0,0,0,0.4,0.4,0.11,0.6,0.6,Matches
174,Filip Jørgensen,dkDEN,GK,Chelsea,23-017,2002.0,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
175,Flynn Downes,engENG,MF,Southampton,26-103,1999.0,19.9,1,10,3,30.0,0.5,0.15,0.1,0.33,18.7,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
176,Frank Onyeka,ngNGA,MF,Brentford,27-122,1998.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
177,Fraser Forster,engENG,GK,Tottenham,37-047,1988.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
178,Gabriel Jesus,brBRA,FW,Arsenal,28-030,1997.0,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,Matches
179,Gabriel Magalhães,brBRA,DF,Arsenal,27-135,1997.0,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,9.5,0,0,0,2.6,2.6,0.12,0.4,0.4,Matches
180,Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-319,2001.0,21.7,7,45,19,42.2,2.07,0.87,0.16,0.37,13.0,0,0,0,5.9,5.9,0.13,1.1,1.1,Matches
181,George Edmundson,engENG,DF,Ipswich Town,27-245,1997.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
182,George Hirst,sctSCO,FW,Ipswich Town,26-077,1999.0,5.2,2,9,4,44.4,1.72,0.77,0.22,0.5,12.0,0,0,0,1.3,1.3,0.14,0.7,0.7,Matches
183,Georginio Rutter,frFRA,"MF,FW",Brighton,23-013,2002.0,18.4,5,50,12,24.0,2.72,0.65,0.1,0.42,15.5,0,0,0,4.6,4.6,0.09,0.4,0.4,Matches
184,Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-155,1996.0,8.7,2,19,7,36.8,2.18,0.8,0.11,0.29,20.0,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Matches
185,Guglielmo Vicario,itITA,GK,Tottenham,28-208,1996.0,22.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
186,Guido Rodríguez,arARG,MF,West Ham,31-021,1994.0,11.3,0,8,1,12.5,0.71,0.09,0.0,0.0,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
187,Gustavo Nunes,brBRA,"MF,FW",Brentford,19-164,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
188,Hamza Choudhury,bdBAN,"MF,DF",Leicester City,27-214,1997.0,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
189,Harrison Armstrong,engENG,MF,Everton,18-104,2007.0,0.5,0,1,0,0.0,1.87,0.0,0.0,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
190,Harrison Reed,engENG,MF,Fulham,30-096,1995.0,1.0,0,3,2,66.7,2.9,1.94,0.0,0.0,21.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
191,Harry Amass,engENG,DF,Manchester Utd,18-048,2007.0,1.8,0,1,0,0.0,0.54,0.0,0.0,,29.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
192,Harry Clarke,engENG,DF,Ipswich Town,24-062,2001.0,4.2,0,1,1,100.0,0.24,0.24,0.0,0.0,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
193,Harry Maguire,engENG,DF,Manchester Utd,32-059,1993.0,16.5,1,12,5,41.7,0.73,0.3,0.08,0.2,7.9,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
194,Harry Toffolo,engENG,DF,Nott'ham Forest,29-257,1995.0,1.5,0,1,0,0.0,0.66,0.0,0.0,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
195,Harry Wilson,wlsWAL,"FW,MF",Fulham,28-042,1997.0,10.4,5,29,9,31.0,2.79,0.86,0.17,0.56,17.7,1,0,0,3.2,3.2,0.11,1.8,1.8,Matches
196,Harry Winks,engENG,MF,Leicester City,29-090,1996.0,17.1,0,10,4,40.0,0.59,0.23,0.0,0.0,29.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
197,Harvey Barnes,engENG,FW,Newcastle Utd,27-145,1997.0,15.7,9,52,16,30.8,3.31,1.02,0.17,0.56,14.7,0,0,0,6.3,6.3,0.12,2.7,2.7,Matches
198,Harvey Elliott,engENG,"MF,FW",Liverpool,22-029,2003.0,2.2,0,11,2,18.2,4.97,0.9,0.0,0.0,16.7,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
199,Hwang Hee-chan,krKOR,"MF,FW",Wolves,29-097,1996.0,7.2,2,5,3,60.0,0.69,0.41,0.4,0.67,17.4,0,0,0,0.8,0.8,0.16,1.2,1.2,Matches
200,Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-202,2001.0,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
201,Ian Maatsen,nlNED,DF,Aston Villa,23-054,2002.0,9.9,1,16,5,31.3,1.62,0.51,0.06,0.2,22.7,0,0,0,0.7,0.7,0.05,0.3,0.3,Matches
202,Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-152,1997.0,3.3,0,1,1,100.0,0.31,0.31,0.0,0.0,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
203,Ibrahima Konaté,frFRA,DF,Liverpool,25-343,1999.0,25.8,1,18,3,16.7,0.7,0.12,0.06,0.33,10.5,0,0,0,1.7,1.7,0.1,-0.7,-0.7,Matches
204,Idrissa Gana Gueye,snSEN,MF,Everton,35-219,1989.0,30.1,0,27,5,18.5,0.9,0.17,0.0,0.0,25.2,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches
205,Igor,brBRA,DF,Brighton,27-085,1998.0,10.0,0,1,0,0.0,0.1,0.0,0.0,,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
206,Iliman Ndiaye,snSEN,FW,Everton,25-058,2000.0,24.0,7,31,13,41.9,1.29,0.54,0.16,0.38,17.3,0,2,2,5.2,3.6,0.12,1.8,1.4,Matches
207,Illia Zabarnyi,uaUKR,DF,Bournemouth,22-244,2002.0,30.6,0,10,0,0.0,0.33,0.0,0.0,,9.8,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
208,Ismaila Sarr,snSEN,"MF,FW",Crystal Palace,27-067,1998.0,26.6,7,48,24,50.0,1.81,0.9,0.15,0.29,13.3,0,0,0,8.7,8.7,0.19,-1.7,-1.7,Matches
209,Issa Diop,frFRA,DF,Fulham,28-114,1997.0,14.9,0,5,2,40.0,0.34,0.13,0.0,0.0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
210,Jack Clarke,engENG,"FW,MF",Ipswich Town,24-161,2000.0,11.5,0,14,2,14.3,1.22,0.17,0.0,0.0,19.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
211,Jack Grealish,engENG,"FW,MF",Manchester City,29-235,1995.0,8.0,1,15,5,33.3,1.87,0.62,0.07,0.2,16.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
212,Jack Harrison,engENG,FW,Everton,28-164,1996.0,21.0,1,27,6,22.2,1.29,0.29,0.04,0.17,16.3,0,0,0,3.3,3.3,0.12,-2.3,-2.3,Matches
213,Jack Hinshelwood,engENG,"DF,MF",Brighton,20-022,2005.0,18.6,2,14,6,42.9,0.75,0.32,0.14,0.33,14.3,0,0,0,1.5,1.5,0.1,0.5,0.5,Matches
214,Jack Stephens,engENG,DF,Southampton,31-096,1994.0,12.9,1,4,2,50.0,0.31,0.15,0.25,0.5,11.0,0,0,0,0.6,0.6,0.14,0.4,0.4,Matches
215,Jack Taylor,ieIRL,MF,Ipswich Town,26-314,1998.0,7.6,1,17,4,23.5,2.23,0.53,0.06,0.25,23.0,0,0,0,0.7,0.7,0.04,0.3,0.3,Matches
216,Jacob Greaves,engENG,DF,Ipswich Town,24-233,2000.0,20.5,1,8,4,50.0,0.39,0.2,0.13,0.25,8.3,0,0,0,1.2,1.2,0.16,-0.2,-0.2,Matches
217,Jacob Murphy,engENG,FW,Newcastle Utd,30-068,1995.0,23.2,8,41,15,36.6,1.77,0.65,0.2,0.53,18.1,0,0,0,5.6,5.6,0.14,2.4,2.4,Matches
218,Jacob Ramsey,engENG,"FW,MF",Aston Villa,23-340,2001.0,16.5,1,17,4,23.5,1.03,0.24,0.06,0.25,16.1,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
219,Jaden Philogene Bidace,engENG,"FW,MF",Aston Villa,23-084,2002.0,3.7,0,7,0,0.0,1.9,0.0,0.0,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
220,Jaden Philogene Bidace,engENG,"FW,DF",Ipswich Town,23-084,2002.0,5.3,2,12,5,41.7,2.28,0.95,0.17,0.4,16.4,0,0,0,2.0,2.0,0.17,0.0,0.0,Matches
221,Jadon Sancho,engENG,FW,Chelsea,25-039,2000.0,18.5,3,23,7,30.4,1.24,0.38,0.13,0.43,15.3,0,0,0,2.0,2.0,0.09,1.0,1.0,Matches
222,Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-180,2005.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
223,Jake Evans,,FW,Leicester City,,,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
224,Jake O'Brien,ieIRL,DF,Everton,23-353,2001.0,14.5,2,5,3,60.0,0.35,0.21,0.4,0.67,11.5,0,0,0,0.7,0.7,0.14,1.3,1.3,Matches
225,Jakub Kiwior,plPOL,DF,Arsenal,25-077,2000.0,8.5,1,3,1,33.3,0.35,0.12,0.33,1.0,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
226,Jakub Moder,plPOL,MF,Brighton,26-026,1999.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
227,Jakub Stolarczyk,plPOL,GK,Leicester City,24-135,2000.0,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
228,James Bree,engENG,DF,Southampton,27-204,1997.0,9.9,0,4,1,25.0,0.4,0.1,0.0,0.0,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
229,James Garner,engENG,"MF,DF",Everton,24-051,2001.0,13.7,0,7,2,28.6,0.51,0.15,0.0,0.0,24.1,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
230,James Hill,engENG,DF,Bournemouth,23-113,2002.0,5.0,0,6,0,0.0,1.21,0.0,0.0,,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
231,James Justin,engENG,DF,Leicester City,27-069,1998.0,28.7,2,24,6,25.0,0.84,0.21,0.08,0.33,16.0,2,0,0,1.5,1.5,0.06,0.5,0.5,Matches
232,James Maddison,engENG,MF,Tottenham,28-161,1996.0,20.1,9,39,17,43.6,1.94,0.85,0.23,0.53,16.7,6,0,0,5.8,5.8,0.15,3.2,3.2,Matches
233,James Mcatee,engENG,"MF,FW",Manchester City,22-197,2002.0,3.4,3,12,4,33.3,3.55,1.18,0.25,0.75,14.3,0,0,0,2.8,2.8,0.23,0.2,0.2,Matches
234,James Milner,engENG,MF,Brighton,39-119,1986.0,1.9,0,2,0,0.0,1.07,0.0,0.0,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
235,James Tarkowski,engENG,DF,Everton,32-165,1992.0,32.5,1,15,4,26.7,0.46,0.12,0.07,0.25,8.4,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
236,James Ward-Prowse,engENG,MF,Nott'ham Forest,30-183,1994.0,4.4,0,2,1,50.0,0.45,0.23,0.0,0.0,29.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
237,James Ward-Prowse,engENG,MF,West Ham,30-183,1994.0,8.9,0,7,2,28.6,0.79,0.22,0.0,0.0,20.7,2,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
238,Jamie Vardy,engENG,FW,Leicester City,38-112,1987.0,28.6,7,50,20,40.0,1.75,0.7,0.12,0.3,12.2,0,1,2,10.2,8.7,0.17,-3.2,-2.7,Matches
239,Jan Bednarek,plPOL,DF,Southampton,29-021,1996.0,26.1,2,5,2,40.0,0.19,0.08,0.4,1.0,16.0,0,0,0,0.7,0.7,0.13,1.3,1.3,Matches
240,Jan Paul van Hecke,nlNED,DF,Brighton,24-329,2000.0,28.9,1,16,5,31.3,0.55,0.17,0.06,0.2,14.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
241,Jannik Vestergaard,dkDEN,DF,Leicester City,32-273,1992.0,15.5,0,3,2,66.7,0.19,0.13,0.0,0.0,9.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
242,Jarell Quansah,engENG,DF,Liverpool,22-094,2003.0,3.5,0,1,0,0.0,0.29,0.0,0.0,,8.9,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
243,Jarrad Branthwaite,engENG,DF,Everton,22-310,2002.0,25.1,0,8,3,37.5,0.32,0.12,0.0,0.0,8.2,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
244,Jarrod Bowen,engENG,"FW,MF",West Ham,28-134,1996.0,29.2,9,75,30,40.0,2.57,1.03,0.11,0.27,17.8,1,1,1,7.4,6.7,0.09,1.6,1.3,Matches
245,Jason Steele,engENG,GK,Brighton,34-258,1990.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
246,Jay Robinson,engENG,MF,Southampton,18-049,2007.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
247,Jay Stansfield,engENG,MF,Fulham,22-160,2002.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
248,Jayden Danns,engENG,MF,Liverpool,19-107,2006.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
249,Jayden Meghoma,engENG,DF,Brentford,18-309,2006.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
250,Jean-Clair Todibo,frFRA,DF,West Ham,25-124,1999.0,16.5,0,4,0,0.0,0.24,0.0,0.0,,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
251,Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-309,1997.0,27.1,14,60,25,41.7,2.21,0.92,0.2,0.48,15.6,0,2,2,12.1,10.5,0.18,1.9,1.5,Matches
252,Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,26-310,1998.0,17.2,2,20,5,25.0,1.16,0.29,0.1,0.4,21.7,2,0,0,1.3,1.3,0.07,0.7,0.7,Matches
253,Jefferson Lerma,coCOL,"MF,DF",Crystal Palace,30-190,1994.0,22.6,0,24,7,29.2,1.06,0.31,0.0,0.0,19.4,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
254,Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-131,1992.0,1.1,0,4,2,50.0,3.5,1.75,0.0,0.0,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
255,Jens Cajuste,seSWE,MF,Ipswich Town,25-266,1999.0,19.7,1,10,1,10.0,0.51,0.05,0.1,1.0,21.3,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
256,Jeremy Doku,beBEL,"FW,MF",Manchester City,22-341,2002.0,15.5,3,24,9,37.5,1.55,0.58,0.13,0.33,18.2,0,0,0,1.0,1.0,0.04,2.0,2.0,Matches
257,Jeremy Monga,,FW,Leicester City,,,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
258,Jeremy Sarmiento,ecECU,MF,Brighton,22-321,2002.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
259,Jesper Lindstrøm,dkDEN,FW,Everton,25-063,2000.0,13.8,0,28,10,35.7,2.03,0.73,0.0,0.0,21.0,6,0,0,2.1,2.1,0.08,-2.1,-2.1,Matches
260,Joachim Andersen,dkDEN,DF,Crystal Palace,28-337,1996.0,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
261,Joachim Andersen,dkDEN,DF,Fulham,28-337,1996.0,24.7,0,16,4,25.0,0.65,0.16,0.0,0.0,15.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
262,Joe Aribo,ngNGA,"MF,DF",Southampton,28-286,1996.0,21.2,3,17,7,41.2,0.8,0.33,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,0.3,0.3,Matches
263,Joe Gomez,engENG,DF,Liverpool,27-345,1997.0,5.8,0,3,2,66.7,0.52,0.35,0.0,0.0,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
264,Joe Lumley,engENG,GK,Southampton,30-077,1995.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
265,Joe Willock,engENG,"MF,FW",Newcastle Utd,25-256,1999.0,10.6,0,16,3,18.8,1.51,0.28,0.0,0.0,15.7,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
266,Joel Ward,engENG,DF,Crystal Palace,35-186,1989.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
267,Joelinton,brBRA,"MF,FW",Newcastle Utd,28-262,1996.0,26.6,4,45,13,28.9,1.69,0.49,0.09,0.31,14.0,0,0,0,3.9,3.9,0.09,0.1,0.1,Matches
268,John McGinn,sctSCO,"MF,FW",Aston Villa,30-197,1994.0,22.1,1,26,5,19.2,1.17,0.23,0.04,0.2,16.2,1,0,0,2.9,2.6,0.1,-1.9,-1.6,Matches
269,John Stones,engENG,"DF,MF",Manchester City,30-340,1994.0,6.1,2,2,2,100.0,0.33,0.33,1.0,1.0,5.1,0,0,0,0.4,0.4,0.22,1.6,1.6,Matches
270,Jonny Evans,nirNIR,DF,Manchester Utd,37-120,1988.0,3.2,0,1,0,0.0,0.31,0.0,0.0,,8.4,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
271,Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-234,1991.0,15.1,4,26,7,26.9,1.73,0.46,0.12,0.43,18.4,3,1,1,2.9,2.1,0.08,1.1,0.9,Matches
272,Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-234,1991.0,0.2,0,1,0,0.0,4.29,0.0,0.0,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches
273,Jordan Pickford,engENG,GK,Everton,31-057,1994.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
274,Jorge Cuenca,esESP,DF,Fulham,25-167,1999.0,2.9,0,1,0,0.0,0.35,0.0,0.0,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
275,Jorginho,itITA,MF,Arsenal,33-134,1991.0,7.8,0,2,0,0.0,0.26,0.0,0.0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
276,Joshua Acheampong,engENG,DF,Chelsea,18-363,2006.0,1.9,0,2,0,0.0,1.06,0.0,0.0,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
277,Joshua King,engENG,"MF,FW",Fulham,18-120,2007.0,0.9,0,1,0,0.0,1.13,0.0,0.0,,5.3,0,0,0,0.2,0.2,0.2,-0.2,-0.2,Matches
278,Joshua Zirkzee,nlNED,"FW,MF",Manchester Utd,23-346,2001.0,15.6,3,28,11,39.3,1.8,0.71,0.11,0.27,13.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8,Matches
279,José Sá,ptPOR,GK,Wolves,32-106,1993.0,27.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
280,Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-275,1999.0,9.4,3,22,7,31.8,2.35,0.75,0.14,0.43,14.5,0,0,0,2.0,2.0,0.09,1.0,1.0,Matches
