Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Pto1/3,PPA,CrsPA,PrgPp,Matches
368,Matheus Cunha,brBRA,"MF,FW",Wolves,25-341,1999.0,26.9,743,1033,71.9,11781,4055,422,496,85.1,208,274,75.9,79,175,45.1,6,7.3,5.0,-1.3,51,89,54,10,131,Matches
369,Matheus França,brBRA,"FW,MF",Crystal Palace,21-032,2004.0,0.3,4,8,50.0,69,35,2,3,66.7,2,4,50.0,0,0,,0,0.0,0.2,0.0,0,1,0,0,2,Matches
370,Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-249,1998.0,16.6,957,1109,86.3,14863,2604,536,587,91.3,358,406,88.2,50,77,64.9,5,4.2,3.1,0.8,21,45,25,7,69,Matches
371,Mathias Jensen,dkDEN,MF,Brentford,29-122,1996.0,8.8,332,442,75.1,6157,2233,152,174,87.4,125,159,78.6,44,79,55.7,2,1.6,1.3,0.4,15,39,17,2,55,Matches
372,Mathis Amougou,frFRA,MF,Chelsea,19-105,2006.0,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
373,Mathys Tel,frFRA,FW,Tottenham,20-006,2005.0,6.2,132,180,73.3,2396,474,61,72,84.7,53,73,72.6,17,24,70.8,0,0.9,0.9,-0.9,9,9,9,4,13,Matches
374,Mats Wieffer,nlNED,"MF,DF",Brighton,25-168,1999.0,7.7,452,523,86.4,7323,1967,222,244,91.0,189,213,88.7,30,40,75.0,2,1.3,0.8,0.7,12,45,5,1,49,Matches
375,Matt Doherty,ieIRL,DF,Wolves,33-107,1992.0,21.8,1003,1214,82.6,18738,6158,407,450,90.4,475,549,86.5,108,175,61.7,1,1.5,1.2,-0.5,11,88,14,1,76,Matches
376,Matt O'Riley,dkDEN,MF,Brighton,24-163,2000.0,8.4,271,343,79.0,4302,1176,138,152,90.8,90,112,80.4,28,54,51.9,1,1.5,1.5,-0.5,16,26,7,0,33,Matches
377,Matt Targett,engENG,DF,Newcastle Utd,29-227,1995.0,0.2,14,15,93.3,187,49,9,10,90.0,4,4,100.0,1,1,100.0,0,0.0,0.1,0.0,0,0,1,1,0,Matches
378,Matthijs de Ligt,nlNED,DF,Manchester Utd,25-264,1999.0,23.2,1225,1360,90.1,21549,5917,449,477,94.1,717,759,94.5,53,105,50.5,0,0.3,0.3,-0.3,6,63,2,1,55,Matches
379,Matty Cash,plPOL,DF,Aston Villa,27-269,1997.0,19.0,607,772,78.6,10099,2861,295,329,89.7,260,326,79.8,40,81,49.4,1,1.1,1.2,-0.1,10,36,8,4,38,Matches
380,Matz Sels,beBEL,GK,Nott'ham Forest,33-066,1992.0,34.0,454,899,50.5,17261,14867,72,72,100.0,135,138,97.8,247,677,36.5,0,0.0,0.1,0.0,1,39,2,0,1,Matches
381,Max Aarons,engENG,DF,Bournemouth,25-119,2000.0,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,Matches
382,Max Kilman,engENG,DF,West Ham,27-345,1997.0,33.2,1511,1738,86.9,29227,9852,482,523,92.2,882,950,92.8,139,238,58.4,1,1.2,1.2,-0.2,16,100,4,0,106,Matches
383,Maxence Lacroix,frFRA,DF,Crystal Palace,25-027,2000.0,30.6,1093,1335,81.9,22521,8899,290,340,85.3,672,739,90.9,125,226,55.3,1,0.8,0.9,0.2,6,66,2,1,59,Matches
384,Maxwel Cornet,ciCIV,FW,Southampton,28-218,1996.0,0.8,17,22,77.3,262,37,9,10,90.0,6,8,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
385,Michael Kayode,itITA,DF,Brentford,20-297,2004.0,2.3,58,88,65.9,1060,377,22,30,73.3,31,45,68.9,5,11,45.5,0,0.2,0.2,-0.2,2,3,1,1,2,Matches
386,Michael Keane,engENG,DF,Everton,32-112,1993.0,9.5,258,316,81.6,5895,1868,77,87,88.5,121,134,90.3,58,77,75.3,0,0.1,0.0,-0.1,2,17,0,0,12,Matches
387,Michail Antonio,jmJAM,FW,West Ham,35-036,1990.0,9.3,114,188,60.6,2183,424,52,72,72.2,37,62,59.7,22,31,71.0,1,1.6,0.9,-0.6,9,11,6,2,18,Matches
388,Micky van de Ven,nlNED,DF,Tottenham,24-014,2001.0,10.6,706,776,91.0,13313,4092,210,229,91.7,444,460,96.5,45,72,62.5,2,1.2,0.7,0.8,2,50,1,0,51,Matches
389,Miguel Almirón,pyPAR,FW,Newcastle Utd,31-082,1994.0,1.7,54,66,81.8,707,219,39,42,92.9,13,16,81.3,1,3,33.3,0,0.3,0.2,-0.3,3,3,1,0,6,Matches
390,Mikel Merino,esESP,"MF,FW",Arsenal,28-315,1996.0,15.6,412,529,77.9,5686,1613,260,299,87.0,119,152,78.3,16,30,53.3,2,1.9,1.2,0.1,15,33,24,4,61,Matches
391,Mikey Moore,engENG,"FW,MF",Tottenham,17-265,2007.0,2.1,48,67,71.6,593,166,30,31,96.8,13,20,65.0,1,5,20.0,1,0.3,0.5,0.7,3,1,5,1,7,Matches
392,Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-304,2000.0,28.6,984,1348,73.0,16907,6717,494,577,85.6,341,465,73.3,120,224,53.6,10,7.6,6.3,2.4,57,149,66,17,209,Matches
393,Milos Kerkez,huHUN,DF,Bournemouth,21-177,2003.0,33.2,1175,1563,75.2,18321,6200,644,723,89.1,429,551,77.9,72,197,36.5,5,3.4,2.3,1.6,31,79,35,22,143,Matches
394,Mohamed Salah,egEGY,FW,Liverpool,32-322,1992.0,33.5,811,1137,71.3,12057,3442,463,553,83.7,267,382,69.9,53,90,58.9,18,12.8,7.9,5.2,80,49,82,13,129,Matches
395,Mohammed Kudus,ghGHA,"FW,MF",West Ham,24-274,2000.0,25.9,640,766,83.6,10429,1669,342,380,90.0,233,261,89.3,50,73,68.5,2,2.3,2.5,-0.3,27,42,26,12,74,Matches
396,Moisés Caicedo,ecECU,MF,Chelsea,23-182,2001.0,33.2,1792,1998,89.7,31004,8211,802,870,92.2,805,870,92.5,151,194,77.8,2,2.9,2.7,-0.9,28,215,31,2,194,Matches
397,Morato,brBRA,DF,Nott'ham Forest,23-307,2001.0,8.9,181,244,74.2,3048,1521,77,92,83.7,86,103,83.5,10,28,35.7,0,0.0,0.0,0.0,0,11,0,0,14,Matches
398,Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-096,2000.0,27.2,861,1103,78.1,13218,4094,478,562,85.1,282,348,81.0,61,105,58.1,7,4.5,4.3,2.5,46,114,35,7,145,Matches
399,Morgan Rogers,engENG,"FW,MF",Aston Villa,22-281,2002.0,30.7,606,820,73.9,8871,3021,345,424,81.4,180,235,76.6,44,55,80.0,8,6.9,4.2,1.1,45,69,51,2,113,Matches
400,Murillo,brBRA,DF,Nott'ham Forest,22-303,2002.0,32.5,1016,1304,77.9,20093,9395,386,428,90.2,463,530,87.4,145,299,48.5,0,1.1,1.1,-1.1,12,116,12,1,102,Matches
401,Mykhailo Mudryk,uaUKR,FW,Chelsea,24-118,2001.0,1.7,28,42,66.7,431,165,17,24,70.8,10,15,66.7,1,2,50.0,0,1.0,0.5,-1.0,2,2,2,1,5,Matches
402,Myles Lewis-Skelly,engENG,DF,Arsenal,18-219,2006.0,12.0,549,605,90.7,8096,1755,310,324,95.7,218,240,90.8,12,19,63.2,0,0.3,0.4,-0.3,6,54,8,1,57,Matches
