Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lostm,Won%,Matches
41,Archie Gray,engENG,"DF,MF",Tottenham,19-052,2006.0,15.5,0,0,0,9,11,0,12,12,6,0,0,1,57,9,8,52.9,Matches
42,Arijanet Muric,xkKVX,GK,Ipswich Town,26-177,1998.0,18.0,1,0,0,0,4,0,0,0,0,0,0,0,26,11,1,91.7,Matches
43,Armando Broja,alALB,FW,Everton,23-235,2001.0,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2,Matches
44,Armel Bella Kotchap,deGER,DF,Southampton,23-143,2001.0,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5,Matches
45,Asher Agbinone,engENG,MF,Crystal Palace,19-217,2005.0,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches
46,Ashley Young,engENG,"DF,FW",Everton,39-298,1985.0,17.9,6,1,0,24,17,0,64,23,28,0,0,0,61,10,10,50.0,Matches
47,Axel Disasi,frFRA,DF,Chelsea,27-053,1998.0,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4,Matches
48,Axel Disasi,frFRA,DF,Aston Villa,27-053,1998.0,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,Matches
49,Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-170,1997.0,16.1,5,1,1,12,11,0,6,21,17,0,0,1,43,15,16,48.4,Matches
50,Ayden Heaven,engENG,DF,Manchester Utd,18-223,2006.0,1.1,0,0,0,2,3,0,0,1,3,0,0,0,4,1,2,33.3,Matches
51,Bart Verbruggen,nlNED,GK,Brighton,22-258,2002.0,32.0,5,0,0,0,2,0,0,0,0,0,0,0,58,10,1,90.9,Matches
52,Ben Brereton,clCHI,FW,Southampton,26-015,1999.0,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,Matches
53,Ben Chilwell,engENG,DF,Crystal Palace,28-133,1996.0,1.5,1,0,0,2,2,2,3,4,4,0,0,0,12,3,3,50.0,Matches
54,Ben Davies,wlsWAL,DF,Tottenham,32-009,1993.0,11.5,3,0,0,12,5,0,4,11,9,0,0,0,34,41,35,53.9,Matches
55,Ben Godfrey,engENG,DF,Ipswich Town,27-108,1998.0,1.8,1,0,0,1,0,0,0,2,0,0,0,0,2,3,0,100.0,Matches
56,Ben Johnson,engENG,"DF,FW",Ipswich Town,25-099,2000.0,15.0,5,1,1,27,6,1,37,13,22,0,0,0,57,19,18,51.4,Matches
57,Ben Mee,engENG,DF,Brentford,35-224,1989.0,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0,Matches
58,Ben White,engENG,DF,Arsenal,27-207,1997.0,9.5,2,0,0,8,4,1,10,12,8,0,0,0,24,11,3,78.6,Matches
59,Ben Winterburn,engENG,"FW,MF",Bournemouth,20-241,2004.0,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0,Matches
60,Benoît Badiashile,frFRA,DF,Chelsea,24-038,2001.0,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0,Matches
61,Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-266,1994.0,26.7,7,0,0,26,29,3,54,20,34,0,0,0,93,5,10,33.3,Matches
62,Bernd Leno,deGER,GK,Fulham,33-060,1992.0,34.0,4,0,0,0,3,0,0,0,2,0,0,0,47,9,0,100.0,Matches
63,Beto,gwGNB,FW,Everton,27-092,1998.0,13.2,2,0,0,29,18,14,3,3,6,0,0,0,29,74,86,46.3,Matches
64,Bilal El Khannouss,maMAR,MF,Leicester City,20-358,2004.0,21.3,4,0,0,27,9,1,78,6,26,0,0,0,83,19,19,50.0,Matches
65,Billy Gilmour,sctSCO,MF,Brighton,23-326,2001.0,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,,Matches
