Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lostm,Won%,Matches
175,Flynn Downes,engENG,MF,Southampton,26-103,1999.0,19.9,10,0,0,45,33,0,3,30,23,0,0,0,73,13,13,50.0,Matches
176,Frank Onyeka,ngNGA,MF,Brentford,27-122,1998.0,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,,Matches
177,Fraser Forster,engENG,GK,Tottenham,37-047,1988.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
178,Gabriel Jesus,brBRA,FW,Arsenal,28-030,1997.0,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3,Matches
179,Gabriel Magalhães,brBRA,DF,Arsenal,27-135,1997.0,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9,Matches
180,Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-319,2001.0,21.7,1,0,0,14,19,8,80,4,14,0,0,0,70,14,29,32.6,Matches
181,George Edmundson,engENG,DF,Ipswich Town,27-245,1997.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
182,George Hirst,sctSCO,FW,Ipswich Town,26-077,1999.0,5.2,1,0,0,11,9,2,3,2,3,0,0,0,8,30,19,61.2,Matches
183,Georginio Rutter,frFRA,"MF,FW",Brighton,23-013,2002.0,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2,Matches
184,Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-155,1996.0,8.7,1,0,0,14,15,3,17,5,4,0,0,0,34,3,11,21.4,Matches
185,Guglielmo Vicario,itITA,GK,Tottenham,28-208,1996.0,22.0,1,0,0,0,2,0,0,1,0,0,0,0,31,9,0,100.0,Matches
186,Guido Rodríguez,arARG,MF,West Ham,31-021,1994.0,11.3,5,0,0,15,11,1,4,12,16,0,0,0,46,8,7,53.3,Matches
187,Gustavo Nunes,brBRA,"MF,FW",Brentford,19-164,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
188,Hamza Choudhury,bdBAN,"MF,DF",Leicester City,27-214,1997.0,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,,Matches
189,Harrison Armstrong,engENG,MF,Everton,18-104,2007.0,0.5,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0.0,Matches
190,Harrison Reed,engENG,MF,Fulham,30-096,1995.0,1.0,2,0,0,6,2,0,5,1,3,0,1,0,10,1,2,33.3,Matches
191,Harry Amass,engENG,DF,Manchester Utd,18-048,2007.0,1.8,0,0,0,2,3,1,4,1,1,0,0,0,10,5,1,83.3,Matches
192,Harry Clarke,engENG,DF,Ipswich Town,24-062,2001.0,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4,Matches
193,Harry Maguire,engENG,DF,Manchester Utd,32-059,1993.0,16.5,7,0,0,17,8,1,2,37,13,0,0,0,53,51,21,70.8,Matches
194,Harry Toffolo,engENG,DF,Nott'ham Forest,29-257,1995.0,1.5,1,0,0,1,0,0,4,2,3,0,0,0,2,1,0,100.0,Matches
195,Harry Wilson,wlsWAL,"FW,MF",Fulham,28-042,1997.0,10.4,2,0,0,10,18,1,35,5,8,1,0,0,44,4,18,18.2,Matches
196,Harry Winks,engENG,MF,Leicester City,29-090,1996.0,17.1,4,0,0,9,13,0,34,9,11,0,0,0,106,8,6,57.1,Matches
197,Harvey Barnes,engENG,FW,Newcastle Utd,27-145,1997.0,15.7,0,0,0,10,18,4,37,6,9,0,0,0,46,5,14,26.3,Matches
198,Harvey Elliott,engENG,"MF,FW",Liverpool,22-029,2003.0,2.2,1,0,0,0,0,1,10,1,3,0,0,0,10,1,2,33.3,Matches
199,Hwang Hee-chan,krKOR,"MF,FW",Wolves,29-097,1996.0,7.2,0,0,0,6,8,0,8,2,4,0,0,0,27,3,9,25.0,Matches
200,Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-202,2001.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
201,Ian Maatsen,nlNED,DF,Aston Villa,23-054,2002.0,9.9,2,0,0,9,8,3,47,15,13,0,0,0,54,8,5,61.5,Matches
202,Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-152,1997.0,3.3,2,0,0,8,5,0,0,3,10,0,0,0,23,6,8,42.9,Matches
203,Ibrahima Konaté,frFRA,DF,Liverpool,25-343,1999.0,25.8,5,0,0,26,18,0,0,12,25,0,0,0,86,72,28,72.0,Matches
204,Idrissa Gana Gueye,snSEN,MF,Everton,35-219,1989.0,30.1,8,0,0,51,39,0,7,41,74,0,0,0,177,22,15,59.5,Matches
205,Igor,brBRA,DF,Brighton,27-085,1998.0,10.0,4,0,0,9,6,0,2,4,4,0,0,0,40,8,6,57.1,Matches
206,Iliman Ndiaye,snSEN,FW,Everton,25-058,2000.0,24.0,3,0,0,21,46,5,35,17,25,0,0,0,160,5,17,22.7,Matches
207,Illia Zabarnyi,uaUKR,DF,Bournemouth,22-244,2002.0,30.6,3,1,0,17,6,0,5,35,32,0,0,0,140,70,40,63.6,Matches
208,Ismaila Sarr,snSEN,"MF,FW",Crystal Palace,27-067,1998.0,26.6,4,0,0,12,49,11,50,8,10,1,0,0,99,31,46,40.3,Matches
209,Issa Diop,frFRA,DF,Fulham,28-114,1997.0,14.9,2,0,0,10,4,0,1,9,12,0,0,1,45,20,12,62.5,Matches
210,Jack Clarke,engENG,"FW,MF",Ipswich Town,24-161,2000.0,11.5,2,0,0,14,20,3,13,7,17,0,0,0,65,7,14,33.3,Matches
211,Jack Grealish,engENG,"FW,MF",Manchester City,29-235,1995.0,8.0,3,0,0,5,25,0,20,2,5,0,0,0,26,1,7,12.5,Matches
212,Jack Harrison,engENG,FW,Everton,28-164,1996.0,21.0,0,0,0,13,26,4,115,9,21,1,0,0,65,4,26,13.3,Matches
213,Jack Hinshelwood,engENG,"DF,MF",Brighton,20-022,2005.0,18.6,5,0,0,15,6,0,26,14,18,0,0,0,55,19,14,57.6,Matches
214,Jack Stephens,engENG,DF,Southampton,31-096,1994.0,12.9,2,2,0,12,4,1,1,11,18,0,1,0,41,6,8,42.9,Matches
215,Jack Taylor,ieIRL,MF,Ipswich Town,26-314,1998.0,7.6,3,0,0,14,4,0,6,7,8,0,0,0,43,7,6,53.8,Matches
216,Jacob Greaves,engENG,DF,Ipswich Town,24-233,2000.0,20.5,5,0,0,11,18,1,0,18,14,0,0,0,43,58,38,60.4,Matches
217,Jacob Murphy,engENG,FW,Newcastle Utd,30-068,1995.0,23.2,3,0,0,11,14,3,108,11,15,1,0,0,88,4,15,21.1,Matches
218,Jacob Ramsey,engENG,"FW,MF",Aston Villa,23-340,2001.0,16.5,2,0,0,12,24,5,10,7,15,1,0,0,74,6,10,37.5,Matches
219,Jaden Philogene Bidace,engENG,"FW,MF",Aston Villa,23-084,2002.0,3.7,4,1,1,12,8,1,4,3,5,0,0,0,21,0,5,0.0,Matches
220,Jaden Philogene Bidace,engENG,"FW,DF",Ipswich Town,23-084,2002.0,5.3,1,0,0,8,10,1,13,10,7,0,0,0,23,5,3,62.5,Matches
221,Jadon Sancho,engENG,FW,Chelsea,25-039,2000.0,18.5,1,0,0,6,11,5,23,2,6,2,0,0,97,5,10,33.3,Matches
222,Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-180,2005.0,1.1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,3,25.0,Matches
223,Jake Evans,,FW,Leicester City,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
224,Jake O'Brien,ieIRL,DF,Everton,23-353,2001.0,14.5,4,0,0,11,4,3,17,4,14,0,0,0,50,33,23,58.9,Matches
225,Jakub Kiwior,plPOL,DF,Arsenal,25-077,2000.0,8.5,0,0,0,8,3,0,1,2,6,0,0,0,18,8,7,53.3,Matches
226,Jakub Moder,plPOL,MF,Brighton,26-026,1999.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,Matches
227,Jakub Stolarczyk,plPOL,GK,Leicester City,24-135,2000.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,7,3,0,100.0,Matches
228,James Bree,engENG,DF,Southampton,27-204,1997.0,9.9,0,0,0,2,4,0,24,8,10,0,0,0,56,12,5,70.6,Matches
229,James Garner,engENG,"MF,DF",Everton,24-051,2001.0,13.7,3,0,0,16,12,0,50,16,23,0,0,0,60,10,8,55.6,Matches
230,James Hill,engENG,DF,Bournemouth,23-113,2002.0,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8,Matches
231,James Justin,engENG,DF,Leicester City,27-069,1998.0,28.7,5,0,0,21,34,2,53,42,29,0,0,0,75,58,46,55.8,Matches
232,James Maddison,engENG,MF,Tottenham,28-161,1996.0,20.1,6,0,0,32,64,4,98,12,19,0,0,0,76,5,7,41.7,Matches
233,James Mcatee,engENG,"MF,FW",Manchester City,22-197,2002.0,3.4,1,0,0,5,3,0,5,2,2,0,0,0,8,2,3,40.0,Matches
234,James Milner,engENG,MF,Brighton,39-119,1986.0,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0,Matches
235,James Tarkowski,engENG,DF,Everton,32-165,1992.0,32.5,6,0,0,35,28,2,1,41,40,0,1,0,98,102,33,75.6,Matches
236,James Ward-Prowse,engENG,MF,Nott'ham Forest,30-183,1994.0,4.4,2,1,1,7,2,0,19,5,1,0,0,0,19,3,5,37.5,Matches
237,James Ward-Prowse,engENG,MF,West Ham,30-183,1994.0,8.9,2,0,0,9,2,0,37,5,9,0,0,0,43,5,4,55.6,Matches
238,Jamie Vardy,engENG,FW,Leicester City,38-112,1987.0,28.6,5,0,0,21,20,25,11,3,13,2,0,0,34,49,51,49.0,Matches
239,Jan Bednarek,plPOL,DF,Southampton,29-021,1996.0,26.1,7,0,0,31,12,0,1,53,18,0,1,0,102,68,36,65.4,Matches
240,Jan Paul van Hecke,nlNED,DF,Brighton,24-329,2000.0,28.9,8,1,1,22,22,0,11,23,25,0,0,0,119,73,48,60.3,Matches
241,Jannik Vestergaard,dkDEN,DF,Leicester City,32-273,1992.0,15.5,5,0,0,12,4,0,0,16,10,0,0,1,46,26,19,57.8,Matches
242,Jarell Quansah,engENG,DF,Liverpool,22-094,2003.0,3.5,1,0,0,7,1,0,2,5,7,0,0,0,9,5,8,38.5,Matches
243,Jarrad Branthwaite,engENG,DF,Everton,22-310,2002.0,25.1,4,0,0,10,15,1,3,23,20,0,0,0,80,50,36,58.1,Matches
244,Jarrod Bowen,engENG,"FW,MF",West Ham,28-134,1996.0,29.2,1,0,0,18,47,9,100,16,23,0,0,0,120,11,44,20.0,Matches
245,Jason Steele,engENG,GK,Brighton,34-258,1990.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,Matches
246,Jay Robinson,engENG,MF,Southampton,18-049,2007.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
247,Jay Stansfield,engENG,MF,Fulham,22-160,2002.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
248,Jayden Danns,engENG,MF,Liverpool,19-107,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
249,Jayden Meghoma,engENG,DF,Brentford,18-309,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
250,Jean-Clair Todibo,frFRA,DF,West Ham,25-124,1999.0,16.5,2,0,0,10,5,0,2,20,22,0,0,0,62,23,23,50.0,Matches
251,Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-309,1997.0,27.1,2,0,0,27,26,17,24,2,12,0,0,0,60,59,95,38.3,Matches
252,Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,26-310,1998.0,17.2,3,0,0,29,41,1,40,10,22,0,0,0,57,9,18,33.3,Matches
253,Jefferson Lerma,coCOL,"MF,DF",Crystal Palace,30-190,1994.0,22.6,8,0,0,34,35,0,11,36,15,0,0,0,139,39,38,50.6,Matches
254,Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-131,1992.0,1.1,0,0,0,1,0,0,4,0,0,0,0,0,6,3,4,42.9,Matches
255,Jens Cajuste,seSWE,MF,Ipswich Town,25-266,1999.0,19.7,2,0,0,21,21,0,9,25,19,0,0,0,98,12,20,37.5,Matches
256,Jeremy Doku,beBEL,"FW,MF",Manchester City,22-341,2002.0,15.5,1,0,0,7,31,5,51,4,19,0,0,0,57,0,11,0.0,Matches
257,Jeremy Monga,,FW,Leicester City,,,0.3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0.0,Matches
258,Jeremy Sarmiento,ecECU,MF,Brighton,22-321,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
259,Jesper Lindstrøm,dkDEN,FW,Everton,25-063,2000.0,13.8,2,0,0,15,10,1,71,12,25,0,0,0,70,6,12,33.3,Matches
260,Joachim Andersen,dkDEN,DF,Crystal Palace,28-337,1996.0,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0,Matches
261,Joachim Andersen,dkDEN,DF,Fulham,28-337,1996.0,24.7,5,1,0,15,17,0,10,30,17,0,0,1,104,62,35,63.9,Matches
262,Joe Aribo,ngNGA,"MF,DF",Southampton,28-286,1996.0,21.2,1,0,0,20,28,1,10,20,30,0,1,0,110,25,21,54.3,Matches
263,Joe Gomez,engENG,DF,Liverpool,27-345,1997.0,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2,Matches
264,Joe Lumley,engENG,GK,Southampton,30-077,1995.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7,Matches
265,Joe Willock,engENG,"MF,FW",Newcastle Utd,25-256,1999.0,10.6,2,0,0,20,12,3,16,5,14,0,0,0,35,5,13,27.8,Matches
266,Joel Ward,engENG,DF,Crystal Palace,35-186,1989.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
267,Joelinton,brBRA,"MF,FW",Newcastle Utd,28-262,1996.0,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2,Matches
268,John McGinn,sctSCO,"MF,FW",Aston Villa,30-197,1994.0,22.1,7,0,0,43,63,3,50,14,22,1,0,0,92,15,10,60.0,Matches
269,John Stones,engENG,"DF,MF",Manchester City,30-340,1994.0,6.1,1,0,0,2,2,0,0,4,2,0,0,0,22,8,6,57.1,Matches
270,Jonny Evans,nirNIR,DF,Manchester Utd,37-120,1988.0,3.2,1,0,0,5,6,0,0,4,5,0,0,0,15,8,3,72.7,Matches
271,Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-234,1991.0,15.1,5,0,0,28,45,5,52,12,13,0,0,0,84,33,54,37.9,Matches
272,Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-234,1991.0,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches
273,Jordan Pickford,engENG,GK,Everton,31-057,1994.0,34.0,7,0,0,0,6,0,0,1,0,0,0,0,31,4,1,80.0,Matches
274,Jorge Cuenca,esESP,DF,Fulham,25-167,1999.0,2.9,0,0,0,2,2,0,1,2,2,0,0,0,9,6,3,66.7,Matches
275,Jorginho,itITA,MF,Arsenal,33-134,1991.0,7.8,5,0,0,15,17,0,1,7,4,0,0,0,54,1,6,14.3,Matches
276,Joshua Acheampong,engENG,DF,Chelsea,18-363,2006.0,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches
277,Joshua King,engENG,"MF,FW",Fulham,18-120,2007.0,0.9,0,0,0,2,2,0,1,1,3,0,0,0,3,0,0,,Matches
278,Joshua Zirkzee,nlNED,"FW,MF",Manchester Utd,23-346,2001.0,15.6,2,0,0,9,13,3,4,6,8,1,0,0,57,21,54,28.0,Matches
279,José Sá,ptPOR,GK,Wolves,32-106,1993.0,27.0,2,0,0,4,8,0,0,0,2,0,4,0,31,9,1,90.0,Matches
280,Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-275,1999.0,9.4,5,0,0,24,23,8,21,12,13,1,0,0,42,21,27,43.8,Matches
281,João Félix,ptPOR,"FW,MF",Chelsea,25-174,1999.0,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4,Matches
282,João Gomes,brBRA,MF,Wolves,24-080,2001.0,30.9,10,1,1,67,41,1,27,25,62,0,0,0,178,9,24,27.3,Matches
283,João Pedro,brBRA,"FW,MF",Brighton,23-219,2001.0,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8,Matches
284,Joël Veltman,nlNED,DF,Brighton,33-108,1992.0,18.3,4,0,0,26,42,0,23,18,28,0,1,0,67,21,18,53.8,Matches
285,Joško Gvardiol,hrCRO,DF,Manchester City,23-100,2002.0,33.4,2,0,0,13,23,2,19,38,34,0,0,0,132,48,33,59.3,Matches
286,Julian Araujo,mxMEX,DF,Bournemouth,23-263,2001.0,4.0,1,0,0,4,1,0,5,4,3,0,0,0,26,2,6,25.0,Matches
287,Julio Enciso,pyPAR,"MF,FW",Brighton,21-100,2004.0,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5,Matches
288,Julio Enciso,pyPAR,"FW,MF",Ipswich Town,21-100,2004.0,6.9,3,0,0,7,12,0,11,1,8,0,1,0,34,7,16,30.4,Matches
289,Julio Soler,arARG,FW,Bournemouth,20-076,2005.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,Matches
290,Jurriën Timber,nlNED,DF,Arsenal,23-320,2001.0,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4,Matches
291,Justin Devenny,nirNIR,MF,Crystal Palace,21-204,2003.0,4.8,1,0,0,7,0,1,17,0,9,0,0,0,21,2,13,13.3,Matches
292,Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-363,1999.0,23.3,8,0,0,40,29,5,78,13,9,1,0,0,71,7,25,21.9,Matches
293,Jáder Durán,coCOL,FW,Aston Villa,21-141,2003.0,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches
294,Jørgen Strand Larsen,noNOR,FW,Wolves,25-086,2000.0,27.4,4,0,0,46,18,14,6,5,6,0,0,0,42,66,96,40.7,Matches
295,Kaelan Casey,engENG,DF,West Ham,20-187,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
296,Kai Havertz,deGER,"FW,MF",Arsenal,25-326,1999.0,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9,Matches
297,Kalvin Phillips,engENG,MF,Ipswich Town,29-152,1995.0,13.5,6,1,1,28,19,0,18,19,19,0,0,0,68,7,21,25.0,Matches
298,Kamaldeen Sulemana,ghGHA,"FW,MF",Southampton,23-077,2002.0,12.5,1,0,0,18,10,2,24,6,14,0,0,0,51,8,20,28.6,Matches
299,Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-348,1997.0,28.0,1,0,0,39,23,5,72,13,26,0,0,0,92,24,27,47.1,Matches
300,Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-162,2001.0,5.9,2,0,0,14,13,2,14,3,9,0,0,0,30,10,15,40.0,Matches
301,Keane Lewis-Potter,engENG,"DF,FW",Brentford,24-070,2001.0,30.7,6,0,0,16,28,4,68,19,26,1,0,0,132,26,33,44.1,Matches
302,Kenny Tete,nlNED,DF,Fulham,29-206,1995.0,16.0,3,0,0,25,14,0,26,28,34,0,0,0,61,18,12,60.0,Matches
303,Kepa Arrizabalaga,esESP,GK,Bournemouth,30-212,1994.0,27.0,3,0,0,2,5,0,0,0,0,0,2,0,48,7,1,87.5,Matches
304,Kevin Danso,atAUT,DF,Tottenham,26-226,1998.0,5.4,0,0,0,6,7,0,1,2,4,0,0,0,21,12,8,60.0,Matches
305,Kevin De Bruyne,beBEL,"MF,FW",Manchester City,33-309,1991.0,17.1,2,0,0,16,16,5,122,7,9,0,0,0,56,4,15,21.1,Matches
306,Kevin Schade,deGER,FW,Brentford,23-157,2001.0,22.2,3,0,0,19,33,13,36,5,23,0,0,0,76,76,63,54.7,Matches
307,Kieran Tierney,sctSCO,"DF,FW",Arsenal,27-332,1997.0,2.0,0,0,0,0,2,2,10,2,4,0,0,0,3,3,5,37.5,Matches
308,Kieran Trippier,engENG,DF,Newcastle Utd,34-226,1990.0,13.2,1,0,0,16,10,2,74,11,19,0,0,0,61,19,14,57.6,Matches
309,Kiernan Dewsbury-Hall,engENG,"MF,FW",Chelsea,26-239,1998.0,2.9,0,0,0,4,6,0,2,1,5,0,0,0,9,0,1,0.0,Matches
310,Kim Jisoo,krKOR,DF,Brentford,20-130,2004.0,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
311,Kobbie Mainoo,engENG,MF,Manchester Utd,20-014,2005.0,15.7,5,0,0,26,19,2,4,19,24,0,0,0,77,18,27,40.0,Matches
312,Konstantinos Mavropanos,grGRE,DF,West Ham,27-143,1997.0,21.6,6,1,1,17,14,3,2,38,22,0,0,0,67,56,24,70.0,Matches
313,Kosta Nedeljković,rsSRB,DF,Aston Villa,19-138,2005.0,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0,Matches
314,Kostas Tsimikas,grGRE,DF,Liverpool,28-356,1996.0,7.4,2,0,0,9,6,1,53,10,17,0,0,0,26,5,6,45.5,Matches
315,Kristoffer Ajer,noNOR,DF,Brentford,27-016,1998.0,15.5,5,0,0,12,6,1,14,12,17,0,0,0,42,27,22,55.1,Matches
316,Kyle Walker,engENG,DF,Manchester City,34-340,1990.0,10.8,3,0,0,6,5,1,14,3,10,0,0,0,46,9,7,56.3,Matches
317,Kyle Walker-Peters,engENG,DF,Southampton,28-020,1997.0,31.4,5,0,0,28,49,2,51,18,28,0,0,0,130,11,21,34.4,Matches
318,Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-118,2004.0,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches
319,Leandro Trossard,beBEL,FW,Arsenal,30-150,1994.0,25.2,4,1,1,24,41,5,78,9,16,0,0,0,90,6,21,22.2,Matches
320,Leif Davis,engENG,DF,Ipswich Town,25-111,2000.0,28.5,5,1,0,25,30,3,148,25,26,0,2,0,111,33,22,60.0,Matches
321,Leny Yoro,frFRA,DF,Manchester Utd,19-171,2005.0,11.9,5,0,0,9,2,1,1,17,10,0,0,0,41,16,15,51.6,Matches
322,Leon Bailey,jmJAM,"FW,MF",Aston Villa,27-267,1997.0,12.6,3,0,0,12,18,3,34,3,4,1,0,0,59,6,9,40.0,Matches
323,Lesley Ugochukwu,frFRA,MF,Southampton,21-038,2004.0,16.1,5,0,0,26,14,0,6,12,22,0,1,0,59,18,17,51.4,Matches
324,Levi Colwill,engENG,DF,Chelsea,22-066,2003.0,31.0,8,0,0,42,18,4,13,31,28,0,1,0,108,76,51,59.8,Matches
325,Lewis Cook,engENG,"MF,DF",Bournemouth,28-089,1997.0,30.3,8,0,0,46,10,3,126,40,41,0,1,0,178,40,34,54.1,Matches
326,Lewis Dunk,engENG,DF,Brighton,33-163,1991.0,22.1,5,0,0,7,10,2,5,12,10,0,0,1,102,49,30,62.0,Matches
327,Lewis Hall,engENG,DF,Newcastle Utd,20-237,2004.0,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2,Matches
328,Lewis Miley,engENG,MF,Newcastle Utd,19-002,2006.0,2.8,0,0,0,3,1,0,0,2,9,0,0,0,16,5,5,50.0,Matches
329,Lewis Orford,engENG,MF,West Ham,19-074,2006.0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0.0,Matches
330,Liam Delap,engENG,FW,Ipswich Town,22-084,2003.0,26.9,9,0,0,65,48,13,5,2,7,2,0,0,64,52,67,43.7,Matches
331,Lisandro Martínez,arARG,DF,Manchester Utd,27-105,1998.0,19.5,7,0,0,22,7,0,9,32,24,0,0,0,81,16,13,55.2,Matches
332,Lloyd Kelly,engENG,DF,Newcastle Utd,26-209,1998.0,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0,Matches
333,Lucas Bergvall,seSWE,MF,Tottenham,19-090,2006.0,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9,Matches
334,Lucas Digne,frFRA,DF,Aston Villa,31-287,1993.0,24.9,4,0,0,20,14,7,138,25,36,0,0,0,98,34,26,56.7,Matches
335,Lucas Paquetá,brBRA,"MF,FW",West Ham,27-249,1997.0,25.1,8,0,0,49,57,6,28,17,35,0,1,0,140,47,57,45.2,Matches
336,Luis Díaz,coCOL,FW,Liverpool,28-110,1997.0,24.7,2,0,0,48,30,10,30,7,21,2,0,0,98,12,33,26.7,Matches
337,Luis Guilherme,brBRA,"MF,FW",West Ham,19-083,2006.0,1.5,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7,Matches
338,Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-320,1999.0,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0,Matches
339,Luke Shaw,engENG,DF,Manchester Utd,29-295,1995.0,1.9,1,0,0,2,0,0,9,2,2,0,0,0,9,3,0,100.0,Matches
340,Luke Thomas,engENG,DF,Leicester City,23-327,2001.0,8.7,1,0,0,4,6,0,20,15,20,0,1,0,32,9,11,45.0,Matches
341,Luke Woolfenden,engENG,DF,Ipswich Town,26-194,1998.0,12.2,2,0,0,5,2,1,0,18,6,0,0,0,35,15,12,55.6,Matches
342,Mads Hermansen,dkDEN,GK,Leicester City,24-296,2000.0,26.5,1,0,0,0,3,0,0,0,1,0,0,0,17,4,1,80.0,Matches
343,Mads Roerslev,dkDEN,DF,Brentford,25-313,1999.0,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7,Matches
344,Malo Gusto,frFRA,DF,Chelsea,21-349,2003.0,20.2,4,0,0,20,18,2,51,23,28,0,0,0,114,8,15,34.8,Matches
345,Manuel Akanji,chSUI,DF,Manchester City,29-288,1995.0,19.4,3,0,0,16,9,0,11,7,11,0,0,0,89,26,29,47.3,Matches
346,Manuel Ugarte Ribeiro,uyURU,MF,Manchester Utd,24-022,2001.0,18.0,9,0,0,35,31,0,7,25,43,0,0,1,111,17,18,48.6,Matches
347,Marc Cucurella,esESP,DF,Chelsea,26-285,1998.0,29.2,10,1,1,33,32,3,29,23,38,0,0,0,110,29,51,36.3,Matches
348,Marc Guiu,esESP,FW,Chelsea,19-119,2006.0,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
349,Marc Guéhi,engENG,DF,Crystal Palace,24-294,2000.0,32.0,9,1,1,22,26,1,13,25,31,0,0,3,135,66,50,56.9,Matches
350,Marco Asensio,esESP,"MF,FW",Aston Villa,29-102,1996.0,5.3,1,0,0,8,6,2,22,1,5,0,0,0,20,0,1,0.0,Matches
351,Marcos Senesi,arARG,DF,Bournemouth,27-358,1997.0,11.3,5,0,0,19,7,0,10,11,21,0,0,0,67,23,27,46.0,Matches
352,Marcus Harness,engENG,MF,Ipswich Town,29-068,1996.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,,Matches
353,Marcus Rashford,engENG,FW,Aston Villa,27-184,1997.0,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1,Matches
354,Marcus Rashford,engENG,"FW,MF",Manchester Utd,27-184,1997.0,10.9,2,0,0,8,7,7,27,4,4,0,0,0,24,5,7,41.7,Matches
