STT,Player,Age,Squad,ETV
364,James Ward-Prowse,30,West Ham,€11.2M
367,Wataru Endo,32,Liverpool,€11.1M
370,Harry Souttar,26,Leicester City,€10.8M
371,Toby Collyer,21,Manchester Utd,€10.7M
372,Ben Godfrey,27,Ipswich Town,€10.5M
373,Andrés García,22,Aston Villa,€10.4M
374,William Osula,21,Newcastle Utd,€10.3M
375,Timo Werner,29,Tottenham,€10.3M
376,Arijanet Murić,26,Ipswich Town,€10.1M
377,Chiedozie Ogbene,28,Ipswich Town,€9.8M
378,Conor Chaplin,28,Ipswich Town,€9.8M
382,Juan Larios,21,Southampton,€9.1M
384,Vítězslav Jaroš,23,Liverpool,€8.9M
385,Oliver Scarles,19,West Ham,€8.7M
387,Yunus Konak,19,Brentford,€8.4M
389,Will Smallbone,25,Southampton,€8.4M
392,Tyler Morton,22,Liverpool,€7.9M
393,Matt Targett,29,Newcastle Utd,€7.9M
394,Sam Johnstone,32,Wolves,€7.9M
395,Jorge Cuenca,25,Fulham,€7.8M
396,Luke Thomas,23,Leicester City,€7.8M
398,George Hirst,26,Ipswich Town,€7.7M
400,Daniel Jebbison,21,Bournemouth,€7.5M
401,Kieran Tierney,27,Arsenal,€7.4M
403,Ross Barkley,31,Aston Villa,€7.3M
404,Solly March,30,Brighton,€7.3M
405,Callum Wilson,33,Newcastle Utd,€7.3M
406,Matt Turner,30,Crystal Palace,€7M
407,Justin Devenny,21,Crystal Palace,€6.9M
409,Harrison Reed,30,Fulham,€6.7M
410,Ayden Heaven,19,Manchester Utd,€6.7M
411,Andy Irving,24,West Ham,€6.5M
412,Joachim Kayi Sanda,18,Southampton,€6.3M
413,Saša Kalajdžić,27,Wolves,€6.3M
414,Nathan Broadhead,27,Ipswich Town,€6.1M
415,Nathan Wood,22,Southampton,€6.1M
416,Lamare Bogarde,21,Aston Villa,€6M
423,Sergio Reguilón,28,Tottenham,€5.6M
424,Joshua Dasilva,26,Brentford,€5.4M
425,Jorginho,33,Arsenal,€5.3M
428,Idrissa Gueye,35,Everton,€5M
429,Dane Scarlett,21,Tottenham,€4.9M
430,Pablo Sarabia,32,Wolves,€4.9M
431,Vladimír Coufal,32,West Ham,€4.8M
432,Danny Ings,32,West Ham,€4.6M
433,Odysseas Vlachodimos,31,Newcastle Utd,€4.6M
434,Matai Akinmboni,18,Bournemouth,€4.6M
435,Carlos Miguel,26,Nott'ham Forest,€4.4M
436,Carl Rushworth,23,Brighton,€4.4M
437,Joshua King,18,Fulham,€4.4M
438,Eric da Silva Moreira,19,Nott'ham Forest,€4.3M
443,Ricardo Pereira,31,Leicester City,€4.1M
444,Welington,24,Southampton,€4M
446,Jack Taylor,26,Ipswich Town,€3.8M
447,Ross Stewart,28,Southampton,€2.8M
448,Bobby Reid,32,Leicester City,€2.7M
449,Jamaal Lascelles,31,Newcastle Utd,€2.7M
450,Hákon Rafn Valdimarsson,23,Brentford,€2.4M
451,Carlos Vinícius,30,Fulham,€2.4M
452,Michael Keane,32,Everton,€2.3M
453,Ryan Fraser,31,Southampton,€2.3M
454,Michael Golding,18,Leicester City,€2.3M
455,Harry Toffolo,29,Nott'ham Forest,€2.2M
457,Daniel Iversen,27,Leicester City,€2.1M
458,James Hill,23,Bournemouth,€2.1M
460,Charlie Taylor,31,Southampton,€2.1M
462,Emil Krafth,30,Newcastle Utd,€2M
463,Jamal Lewis,27,Newcastle Utd,€2M
465,James Bree,27,Southampton,€1.9M
466,Woyo Coulibaly,25,Leicester City,€1.9M
467,Caleb Kporha,18,Crystal Palace,€1.7M
469,Alex Palmer,28,Ipswich Town,€1.6M
470,Neto,35,Arsenal,€1.6M
471,Kortney Hause,29,Aston Villa,€1.5M
472,Daniel Bentley,31,Wolves,€1.5M
475,Jason Steele,34,Brighton,€1.5M
476,Kasey McAteer,23,Leicester City,€1.5M
477,Tom Cairney,34,Fulham,€1.5M
478,Malcolm Ebiowei,21,Crystal Palace,€1.5M
479,Christian Walton,29,Ipswich Town,€1.4M
481,Willy Boly,34,Nott'ham Forest,€1.4M
482,Omari Kellyman,19,Chelsea,€1.4M
485,Willian,36,Fulham,€1.3M
486,Wesley Foderingham,34,West Ham,€1.3M
487,Martin Dúbravka,36,Newcastle Utd,€1.3M
488,Conor Townsend,32,Ipswich Town,€1.2M
489,Will Dennis,24,Bournemouth,€1.2M
490,Cieran Slicker,22,Ipswich Town,€1.2M
491,James Milner,39,Brighton,€1.2M
