STT,Player,Squad,ETV
138,Joe Aribo,Southampton,€6.9M
139,Joe Willock,Newcastle Utd,€35.8M
140,Joelinton,Newcastle Utd,€47.5M
141,John McGinn,Aston Villa,€22.5M
142,Jordan Ayew,Leicester City,€4.2M
143,Jordan Pickford,Everton,€22.6M
144,Joshua Zirkzee,Manchester Utd,€43.7M
145,José Sá,Wolves,€8.5M
146,João Gomes,Wolves,€51.1M
147,João Pedro,Brighton,€61.3M
148,Joël Veltman,Brighton,€5.7M
149,Joško Gvardiol,Manchester City,€78.7M
150,Jurrien Timber,Arsenal,€65.5M
151,Justin Kluivert,Bournemouth,€44.8M
152,Jérémy Doku,Manchester City,€66.2M
153,Jørgen Strand Larsen,Wolves,€30.8M
154,Kai Havertz,Arsenal,€70.5M
155,Kalvin Phillips,Ipswich Town,€17.2M
156,Kamaldeen Sulemana,Southampton,€18.5M
157,Kaoru Mitoma,Brighton,€50.6M
158,Keane Lewis-Potter,Brentford,€27.1M
159,Kenny Tete,Fulham,€14M
160,Kepa Arrizabalaga,Bournemouth,€12M
161,Kevin De Bruyne,Manchester City,€20.1M
162,Kevin Schade,Brentford,€29.7M
163,Kieran Trippier,Newcastle Utd,€5.1M
164,Kobbie Mainoo,Manchester Utd,€66M
165,Konstantinos Mavropanos,West Ham,€19.1M
166,Kristoffer Ajer,Brentford,€21.5M
167,Kyle Walker-Peters,Southampton,€16.6M
168,Leandro Trossard,Arsenal,€31.8M
169,Leif Davis,Ipswich Town,€28.2M
170,Leny Yoro,Manchester Utd,€71M
171,Leon Bailey,Aston Villa,€39.2M
172,Lesley Ugochukwu,Southampton,€27M
173,Levi Colwill,Chelsea,€56.6M
174,Lewis Cook,Bournemouth,€19.3M
175,Lewis Dunk,Brighton,€7.4M
176,Lewis Hall,Newcastle Utd,€34.5M
177,Liam Delap,Ipswich Town,€37M
178,Lisandro Martínez,Manchester Utd,€49.2M
179,Lucas Bergvall,Tottenham,€32.6M
180,Lucas Digne,Aston Villa,€13.6M
181,Lucas Paquetá,West Ham,€71.2M
182,Luis Díaz,Liverpool,€71M
183,Luke Woolfenden,Ipswich Town,€2M
184,Mads Hermansen,Leicester City,€19.8M
185,Malo Gusto,Chelsea,€32.8M
186,Manuel Akanji,Manchester City,€42.8M
187,Manuel Ugarte,Manchester Utd,€60.4M
188,Marc Cucurella,Chelsea,€39.4M
189,Marc Guéhi,Crystal Palace,€54.2M
190,Marcos Senesi,Bournemouth,€20.4M
191,Marcus Rashford,Manchester Utd,€53.6M
192,Marcus Tavernier,Bournemouth,€24.4M
193,Mark Flekken,Brentford,€13.6M
194,Martin Ødegaard,Arsenal,€126.5M
195,Mateo Kovačić,Manchester City,€25.3M
196,Mateus Fernandes,Southampton,€22.5M
197,Matheus Cunha,Wolves,€62.6M
198,Matheus Nunes,Manchester City,€42.3M
199,Matt Doherty,Wolves,€4.2M
200,Matthijs de Ligt,Manchester Utd,€52.2M
201,Matty Cash,Aston Villa,€32.9M
202,Matz Sels,Nott'ham Forest,€9.1M
203,Max Kilman,West Ham,€36.7M
204,Maxence Lacroix,Crystal Palace,€27.7M
205,Micky van de Ven,Tottenham,€61.8M
206,Mikel Merino,Arsenal,€40.5M
207,Mikkel Damsgaard,Brentford,€28.6M
208,Miloš Kerkez,Bournemouth,€61.5M
209,Mohamed Salah,Liverpool,€38.5M
210,Mohammed Kudus,West Ham,€61.7M
211,Moisés Caicedo,Chelsea,€80.7M
212,Morgan Gibbs-White,Nott'ham Forest,€61.7M
213,Morgan Rogers,Aston Villa,€69M
214,Murillo,Nott'ham Forest,€68.4M
215,Myles Lewis-Skelly,Arsenal,€34.9M
216,Nathan Collins,Brentford,€33.3M
217,Neco Williams,Nott'ham Forest,€23.4M
218,Nick Pope,Newcastle Utd,€11.7M
219,Nicolas Jackson,Chelsea,€66.2M
220,Nicolás Domínguez,Nott'ham Forest,€18.8M
221,Nikola Milenković,Nott'ham Forest,€38M
222,Noni Madueke,Chelsea,€51.6M
223,Noussair Mazraoui,Manchester Utd,€43M
224,Nélson Semedo,Wolves,€8.4M
225,O. Hutchinson,Ipswich Town,€27.4M
226,Ola Aina,Nott'ham Forest,€18.8M
227,Oliver Skipp,Leicester City,€17M
228,Ollie Watkins,Aston Villa,€61.4M
229,Omar Marmoush,Manchester City,€79.1M
230,Orel Mangala,Everton,€24.4M
231,Pape Matar Sarr,Tottenham,€50.8M
232,Pau Torres,Aston Villa,€45.3M
233,Paul Onuachu,Southampton,€12.7M
234,Pedro Lima,Wolves,€13.1M
235,Pedro Neto,Chelsea,€60.6M
236,Pedro Porro,Tottenham,€55.9M
237,Pervis Estupiñán,Brighton,€37.1M
238,Phil Foden,Manchester City,€105.7M
239,Radu Drăguşin,Tottenham,€28.4M
240,Rasmus Winther Højlund,Manchester Utd,€54.9M
241,Rayan Aït Nouri,Wolves,€45M
242,Raúl Jiménez,Fulham,€5.1M
243,Riccardo Calafiori,Arsenal,€49.3M
244,Rico Lewis,Manchester City,€62.7M
245,Robert Sánchez,Chelsea,€24.9M
246,Rodrigo Bentancur,Tottenham,€31.5M
247,Rodrigo Muniz,Fulham,€8.2M
248,Ryan Christie,Bournemouth,€16.2M
249,Ryan Gravenberch,Liverpool,€85.3M
250,Ryan Manning,Southampton,€3.9M
251,Ryan Yates,Nott'ham Forest,€18.3M
252,Rúben Dias,Manchester City,€58.5M
253,Sam Morsy,Ipswich Town,€1.3M
254,Sammie Szmodics,Ipswich Town,€14.1M
255,Sander Berge,Fulham,€27.8M
256,Sandro Tonali,Newcastle Utd,€52.9M
257,Santiago Bueno,Wolves,€11.2M
258,Saša Lukić,Fulham,€12.1M
259,Sepp van den Berg,Brentford,€26.4M
260,Simon Adingra,Brighton,€34M
261,Stefan Ortega,Manchester City,€5.8M
262,Stephy Mavididi,Leicester City,€12.9M
263,Sávio,Manchester City,€74.8M
264,Taylor Harwood-Bellis,Southampton,€29.9M
265,Thomas Partey,Arsenal,€15.2M
266,Timothy Castagne,Fulham,€17.4M
267,Tomáš Souček,West Ham,€23.2M
268,Tosin Adarabioyo,Chelsea,€24.3M
269,Toti Gomes,Wolves,€18.6M
270,Trent Alexander-Arnold,Liverpool,€55.8M
271,Trevoh Chalobah,Crystal Palace,€20.1M
272,Tyler Adams,Bournemouth,€24.4M
273,Tyler Dibling,Southampton,€32.7M
274,Tyrick Mitchell,Crystal Palace,€24.6M
275,Tyrone Mings,Aston Villa,€5.8M
276,Valentino Livramento,Newcastle Utd,€49.3M
277,Victor Kristiansen,Leicester City,€23.9M
278,Virgil van Dijk,Liverpool,€24.3M
279,Vitaliy Mykolenko,Everton,€33.5M
280,Vitaly Janelt,Brentford,€27.1M
281,Wes Burns,Ipswich Town,€2.1M
282,Wesley Fofana,Chelsea,€30.3M
283,Wilfred Ndidi,Leicester City,€20.3M
284,Will Hughes,Crystal Palace,€11.1M
285,William Saliba,Arsenal,€79.5M
286,Wout Faes,Leicester City,€25M
287,Yankuba Minteh,Brighton,€42.6M
288,Yasin Ayari,Brighton,€21.4M
289,Yehor Yarmoliuk,Brentford,€18M
290,Yoane Wissa,Brentford,€31.4M
291,Youri Tielemans,Aston Villa,€41.5M
292,Yukinari Sugawara,Southampton,€15.7M
293,Yves Bissouma,Tottenham,€29.8M
294,Álex Moreno,Nott'ham Forest,€11M
295,İlkay Gündoğan,Manchester City,€12.1M
296,Łukasz Fabiański,West Ham,€0.9M
