STT,Player,Age,Squad,ETV
125,Jadon Sancho,25,Chelsea,€37.7M
126,Diogo Dalot,26,Manchester Utd,€37.4M
127,Ferdi Kadıoğlu,25,Brighton,€37.4M
128,Reece James,25,Chelsea,€37.3M
129,Cheick Doucouré,25,Crystal Palace,€37.2M
130,Pervis Estupiñán,27,Brighton,€37.1M
131,Liam Delap,22,Ipswich Town,€37M
132,Danilo,24,Nott'ham Forest,€36.9M
133,Max Kilman,27,West Ham,€36.7M
134,Edson Álvarez,27,West Ham,€36.5M
135,Nathan Aké,30,Manchester City,€36.4M
136,Jean-Clair Todibo,25,West Ham,€36M
137,Joe Willock,25,Newcastle Utd,€35.8M
138,Mason Mount,26,Manchester Utd,€35.5M
139,Myles Lewis-Skelly,18,Arsenal,€34.9M
140,Ibrahim Sangaré,27,Nott'ham Forest,€34.6M
141,Lewis Hall,20,Newcastle Utd,€34.5M
142,André Onana,29,Manchester Utd,€34.2M
143,Simon Adingra,23,Brighton,€34M
144,Vitaliy Mykolenko,25,Everton,€33.5M
145,Nathan Collins,24,Brentford,€33.3M
146,Matty Cash,27,Aston Villa,€32.9M
147,Malo Gusto,21,Chelsea,€32.8M
148,Tyler Dibling,19,Southampton,€32.7M
149,Lucas Bergvall,19,Tottenham,€32.6M
150,Jarrad Branthwaite,22,Everton,€32.2M
151,Leandro Trossard,30,Arsenal,€31.8M
152,Jean-Philippe Mateta,27,Crystal Palace,€31.7M
153,Rodrigo Bentancur,27,Tottenham,€31.5M
154,Patrick Dorgu,20,Manchester Utd,€31.5M
155,Joachim Andersen,28,Fulham,€31.4M
156,Yoane Wissa,28,Brentford,€31.4M
157,Daniel Muñoz,28,Crystal Palace,€30.9M
158,Jørgen Strand Larsen,25,Wolves,€30.8M
159,Facundo Buonanotte,20,Leicester City,€30.7M
160,Heung-min Son,32,Tottenham,€30.7M
161,Bart Verbruggen,22,Brighton,€30.7M
162,Wesley Fofana,24,Chelsea,€30.3M
163,Alex Iwobi,29,Fulham,€30.3M
164,Callum Hudson-Odoi,24,Nott'ham Forest,€30.2M
165,Calvin Bassey,25,Fulham,€29.9M
166,Taylor Harwood-Bellis,23,Southampton,€29.9M
167,André,23,Wolves,€29.8M
168,Yves Bissouma,28,Tottenham,€29.8M
169,Kevin Schade,23,Brentford,€29.7M
170,John Stones,30,Manchester City,€29.7M
171,Brajan Gruda,20,Brighton,€29.4M
172,David Raya,29,Arsenal,€28.9M
173,Mikkel Damsgaard,24,Brentford,€28.6M
174,Benoît Badiashile,24,Chelsea,€28.5M
175,Lewis Miley,19,Newcastle Utd,€28.5M
176,Dango Ouattara,23,Bournemouth,€28.5M
177,Radu Drăguşin,23,Tottenham,€28.4M
178,Leif Davis,25,Ipswich Town,€28.2M
179,Conor Bradley,21,Liverpool,€27.9M
180,Oscar Bobb,21,Manchester City,€27.9M
181,Sander Berge,27,Fulham,€27.8M
182,Maxence Lacroix,25,Crystal Palace,€27.7M
183,Alex Scott,21,Bournemouth,€27.6M
184,Axel Disasi,27,Aston Villa,€27.5M
185,O. Hutchinson,21,Ipswich Town,€27.4M
186,Kevin Danso,26,Tottenham,€27.2M
187,Keane Lewis-Potter,24,Brentford,€27.1M
188,Vitaly Janelt,26,Brentford,€27.1M
189,Lesley Ugochukwu,21,Southampton,€27M
190,Dwight McNeil,25,Everton,€27M
191,Evanilson,25,Bournemouth,€26.9M
192,Aaron Wan-Bissaka,27,West Ham,€26.9M
193,Richarlison,27,Tottenham,€26.7M
194,Luis Guilherme,19,West Ham,€26.6M
